item1,item2
569,150
616,430
521,983
203,964
462,600
665,853
94,349
556,653
566,564
944,533
26,529
219,760
986,168
897,897
750,783
740,395
884,984
496,224
93,870
27,647
591,776
304,233
837,612
115,30
844,789
438,429
950,696
620,189
11,203
358,315
48,739
977,384
733,508
776,620
248,460
257,69
558,688
970,839
988,404
897,491
99,365
124,851
783,898
453,527
911,464
208,667
616,372
419,810
816,346
281,779
268,873
656,403
927,948
915,522
916,158
323,814
346,704
296,515
235,884
272,602
663,504
137,500
339,774
643,823
221,623
119,56
461,496
852,143
525,375
305,312
382,873
133,710
80,876
590,628
496,780
337,400
811,436
498,921
157,245
363,971
971,389
12,808
481,629
334,734
376,43
298,293
581,31
893,226
130,954
358,833
644,543
423,19
131,939
505,813
473,19
794,132
184,805
620,345
150,536
639,182
981,836
301,450
599,204
575,914
447,222
845,302
337,595
434,515
983,886
598,774
613,878
417,283
433,536
360,716
760,275
541,518
276,798
509,200
174,917
922,645
318,140
834,294
577,61
304,146
920,377
401,926
472,936
627,690
427,70
565,876
415,734
926,438
465,535
664,622
366,323
630,686
712,871
62,702
964,358
561,900
668,141
375,797
452,432
863,749
50,34
98,434
216,450
407,732
714,26
484,734
127,17
242,571
735,574
36,160
85,977
68,66
478,171
828,780
119,287
205,346
114,213
623,529
29,917
481,616
734,975
259,681
638,900
651,588
525,47
784,656
741,536
846,943
69,286
134,328
8,18
397,843
700,244
558,59
476,970
74,648
190,404
451,835
365,106
618,348
76,509
790,17
508,543
7,996
754,816
754,278
912,401
148,512
867,110
962,918
33,565
266,531
624,806
144,446
946,494
732,9
195,123
905,544
581,28
164,842
60,921
138,569
878,849
251,623
580,734
978,75
508,39
153,173
865,693
989,277
505,993
5,662
257,409
44,244
361,939
911,221
31,499
598,912
312,85
669,949
855,840
130,262
767,579
345,443
829,541
685,220
794,266
239,835
827,663
931,617
219,396
276,232
615,293
739,423
994,207
157,826
535,779
912,866
625,19
336,367
733,207
620,569
202,375
276,177
577,661
972,347
122,80
999,869
591,254
879,201
932,613
947,860
12,603
351,27
42,564
748,696
346,85
925,225
952,148
314,558
49,226
19,958
455,39
736,766
301,891
646,509
470,733
400,467
114,875
574,610
863,456
559,206
79,212
777,182
107,263
465,744
958,95
473,853
801,182
868,544
183,350
490,775
472,260
749,53
316,410
392,270
732,24
254,684
135,843
560,995
37,199
781,307
437,559
993,945
267,877
726,685
643,341
512,446
941,208
692,34
488,383
490,98
76,49
483,654
221,714
866,758
183,801
358,221
551,755
809,108
393,486
631,471
13,377
75,228
401,420
9,631
571,629
10,47
498,554
714,213
562,136
542,422
420,929
251,577
286,656
93,834
975,413
811,121
70,23
107,686
989,735
53,885
769,94
189,909
103,586
596,255
114,250
971,870
315,689
442,429
307,281
274,426
252,432
377,171
219,655
625,119
974,408
944,184
100,19
444,642
568,577
720,289
487,331
675,331
159,620
545,974
779,135
363,15
376,855
431,651
331,731
887,604
740,691
596,966
576,134
196,522
27,385
586,665
4,798
750,36
831,407
890,836
981,552
818,747
83,24
917,816
651,362
762,227
439,766
851,561
939,69
755,196
167,503
303,505
979,484
728,155
372,82
787,663
95,927
539,53
738,655
433,290
803,675
894,913
929,33
158,252
607,204
615,160
18,717
923,185
233,539
342,635
577,653
312,635
947,307
979,368
436,310
403,219
380,301
64,170
791,345
682,149
92,987
590,892
490,164
386,945
118,79
338,690
271,871
2,142
876,758
741,590
787,143
851,815
372,447
263,875
180,626
687,545
528,557
404,563
216,486
691,448
714,273
700,172
986,937
1,409
888,110
785,342
830,648
842,963
449,924
160,871
317,314
328,784
459,470
577,653
9,172
236,766
517,263
90,634
239,747
152,330
688,383
828,873
738,40
661,284
292,77
152,745
509,353
267,895
527,347
30,83
348,516
331,187
760,878
682,188
719,987
310,674
943,469
83,189
772,35
592,506
199,666
236,67
135,873
940,433
372,777
773,304
510,133
613,716
778,900
760,992
711,946
549,828
161,896
238,514
348,987
293,659
922,228
2,77
618,757
924,255
1000,796
316,967
946,172
211,794
376,683
29,927
381,988
708,228
96,70
655,963
327,292
781,679
988,731
501,410
540,856
145,147
218,878
975,225
109,638
113,767
634,212
687,831
170,684
168,611
609,156
334,883
929,165
249,191
329,9
350,995
23,946
461,849
334,44
961,186
738,807
54,390
870,538
867,932
956,712
375,260
403,830
850,232
565,760
208,233
953,658
902,163
966,843
641,124
886,518
496,407
894,851
89,469
77,267
551,987
988,5
421,939
25,530
599,748
571,654
897,918
664,848
94,520
871,522
