"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2014","2014","PC","Percentage","0","units",,,18.982,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2014","2014","PC","Percentage","0","units",,,28.414,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2014","2014","PC","Percentage","0","units",,,30.685,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2014","2014","PC","Percentage","0","units",,,16.964,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2014","2014","PC","Percentage","0","units",,,20.575,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2014","2014","PC","Percentage","0","units",,,30.14,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2014","2014","PC","Percentage","0","units",,,31.036,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2014","2014","PC","Percentage","0","units",,,31.879,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2014","2014","PC","Percentage","0","units",,,25.795,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2014","2014","PC","Percentage","0","units",,,24.003,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2014","2014","PC","Percentage","0","units",,,22.127,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ISL","Iceland","2014","2014","PC","Percentage","0","units",,,16.506,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","IRL","Ireland","2014","2014","PC","Percentage","0","units",,,20.99,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2014","2014","PC","Percentage","0","units",,,28.64,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","KOR","Korea","2014","2014","PC","Percentage","0","units",,,10.408,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2014","2014","PC","Percentage","0","units",,,23.537,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NLD","Netherlands","2014","2014","PC","Percentage","0","units",,,24.736,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2014","2014","PC","Percentage","0","units",,,22.03,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2014","2014","PC","Percentage","0","units",,,20.614,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","PRT","Portugal","2014","2014","PC","Percentage","0","units",,,25.21,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","SVK","Slovak Republic","2014","2014","PC","Percentage","0","units",,,18.359,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ESP","Spain","2014","2014","PC","Percentage","0","units",,,26.767,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","SWE","Sweden","2014","2014","PC","Percentage","0","units",,,28.112,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CHE","Switzerland","2014","2014","PC","Percentage","0","units",,,19.39,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GBR","United Kingdom","2014","2014","PC","Percentage","0","units",,,21.738,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2014","2014","PC","Percentage","0","units",,,19.225,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","EST","Estonia","2014","2014","PC","Percentage","0","units",,,16.26,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","SVN","Slovenia","2014","2014","PC","Percentage","0","units",,,23.717,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2014","2014","PC","Percentage","0","units",,,8.598,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2014","2014","PC","Percentage","0","units",,,18.704,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2014","2014","PC","Percentage","0","units",,,19.312,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2014","2014","PC","Percentage","0","units",,,9.112,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2014","2014","PC","Percentage","0","units",,,12.302,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2014","2014","PC","Percentage","0","units",,,14.336,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2014","2014","PC","Percentage","0","units",,,18.01,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2014","2014","PC","Percentage","0","units",,,18.505,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2014","2014","PC","Percentage","0","units",,,14.111,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2014","2014","PC","Percentage","0","units",,,17.014,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2014","2014","PC","Percentage","0","units",,,14.71,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ISL","Iceland","2014","2014","PC","Percentage","0","units",,,6.386,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","IRL","Ireland","2014","2014","PC","Percentage","0","units",,,13.247,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2014","2014","PC","Percentage","0","units",,,19.102,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","KOR","Korea","2014","2014","PC","Percentage","0","units",,,4.047,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2014","2014","PC","Percentage","0","units",,,14.416,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NLD","Netherlands","2014","2014","PC","Percentage","0","units",,,12.375,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2014","2014","PC","Percentage","0","units",,,11.353,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2014","2014","PC","Percentage","0","units",,,13.643,,
"10","Public","90","Total","1","Cash benefits","0","Total","PCT_GDP","In percentage of Gross Domestic Product","PRT","Portugal","2014","2014","PC","Percentage","0","units",,,18.08,,
