Country,Employment,Community,Education,Civic,Health,Satisfaction,Employment rate, (Quality of support network),(Educational attainment), engagement (Voter turnout), (Self-reported health),lift
Australia,7.2,9.3,7.4,9.3,8.5,7.4,,,,,,
Austria,7.3,9.5,8.2,7.5,6.9,7.5,,,,,,
Belgium,6.2,9.1,7.1,8.9,7.4,7.1,,,,,,
Canada,7.2,9.4,8.9,6.1,8.8,7.6,,,,,,
Czech Republic,6.7,8.7,9.2,5.9,6,6.7,,,,,,
Denmark,7.3,9.6,7.7,8.8,7.1,7.6,,,,,,
Estonia,6.7,8.9,8.9,6.4,5.2,5.4,,,,,,
Finland,7,9.3,8.4,6.9,6.9,7.4,,,,,,
France,6.4,9.1,7.2,8,6.8,6.7,,,,,,
Germany,7.3,9.3,8.6,7.2,6.5,7,,,,,,
Greece,5.1,6.8,6.7,6.2,7.6,4.7,,,,,,
Hungary,5.7,8.7,8.2,6.4,5.6,4.9,,,,,,
Iceland,8,9.6,7.1,8.1,7.8,7.5,,,,,,
Ireland,5.9,9.5,7.3,7,8.3,6.8,,,,,,
Italy,5.8,9.1,5.6,7.5,6.5,6,,,,,,
Korea,6.4,7.7,8.1,7.6,3.7,6,,,,,,
Luxembourg,6.6,8.8,7.7,9.1,7.3,7.1,,,,,,
Netherlands,7.5,9.2,7.2,7.5,7.6,7.4,,,,,,
Norway,7.6,9.3,8.2,7.8,7.3,7.7,,,,,,
Poland,6,8.9,8.9,5.5,5.8,5.7,,,,,,
Portugal,6.2,8.5,3.5,5.8,5,5.2,,,,,,
Slovak Republic,6,8.8,9.1,5.9,6.3,5.9,,,,,,
Slovenia,6.4,9.3,8.4,6.6,6.1,6,,,,,,
Spain,5.6,9.2,5.4,6.9,7.5,6.2,,,,,,
Sweden,7.4,9.1,8.7,8.5,8,7.4,,,,,,
Switzerland,7.9,9.4,8.6,4.9,8.1,7.8,,,,,,
United Kingdom,7.1,9.4,7.7,6.6,7.8,6.9,,,,,,
United States,6.7,9,8.9,6.7,9,7,,,,,,
OECD - Total,6.5,8.9,7.5,7.2,6.9,6.6,,,,,,
