country,value,ggg,ValueM,Value(bils),INTs,Employment,Community,Education,Civic,Health,Satisfaction,gdp,gdpP
Australia,18.982,1063062.594,201790.5416,201.7905416,2.017905416,7.2,9.3,7.4,9.3,8.5,7.4,10.63062594,44971.47015
Austria,28.414,394485.5275,112089.1178,112.0891178,1.120891178,7.3,9.5,8.2,7.5,6.9,7.5,3.944855275,46171.4264
Belgium,30.685,477949.3341,146658.7532,146.6587532,1.466587532,6.2,9.1,7.1,8.9,7.4,7.1,4.779493341,42838.51699
Canada,16.964,1565812.749,265624.4747,265.6244747,2.656244747,7.2,9.4,8.9,6.1,8.8,7.6,15.65812749,44057.23943
Czech Republic,20.575,319599.4843,65757.59389,65.75759389,0.657575939,6.7,8.7,9.2,5.9,6,6.7,3.195994843,30366.3728
Denmark,30.14,253309.0004,76347.33272,76.34733272,0.763473327,7.3,9.6,7.7,8.8,7.1,7.6,2.533090004,44889.06617
Estonia,16.26,35397.1742,5755.580525,5.755580525,0.057555805,6.7,8.9,8.9,6.4,5.2,5.4,0.353971742,26901.6372
Finland,31.036,218440.5491,67795.20882,67.79520882,0.677952088,7,9.3,8.4,6.9,6.9,7.4,2.184405491,39986.92047
France,31.879,2571970.835,819918.5825,819.9185825,8.199185825,6.4,9.1,7.2,8,6.8,6.7,25.71970835,38869.72503
Germany,25.795,3704913.098,955682.3336,955.6823336,9.556823336,7.3,9.3,8.6,7.2,6.5,7,37.04913098,44985.46709
Greece,24.003,283554.9184,68061.68706,68.06168706,0.680616871,5.1,6.8,6.7,6.2,7.6,4.7,2.835549184,25950.3914
Hungary,22.127,243786.0253,53942.53382,53.94253382,0.539425338,5.7,8.7,8.2,6.4,5.6,4.9,2.437860253,24708.54061
Iceland,16.506,14185.8551,2341.517243,2.341517243,0.023415172,8,9.6,7.1,8.1,7.8,7.5,0.141858551,43330.1416
Ireland,20.99,224893.4533,47205.13585,47.20513585,0.472051358,5.9,9.5,7.3,7,8.3,6.8,2.248934533,48732.69174
Italy,28.64,2128763.016,609677.7278,609.6777278,6.096777278,5.8,9.1,5.6,7.5,6.5,6,21.28763016,35015.25637
Korea,10.408,1732351.776,180303.1728,180.3031728,1.803031728,6.4,7.7,8.1,7.6,3.7,6,17.32351776,34355.69918
Luxembourg,23.537,54307.2743,12782.30315,12.78230315,0.127823032,6.6,8.8,7.7,9.1,7.3,7.1,0.543072743,97272.5672
Netherlands,24.736,803312.5133,198707.3833,198.7073833,1.987073833,7.5,9.2,7.2,7.5,7.6,7.4,8.033125133,47634.7553
Norway,22.03,333130.9525,73388.74884,73.38874884,0.733887488,7.6,9.3,8.2,7.8,7.3,7.7,3.331309525,64836.69764
Poland,20.614,940178.6723,193808.4315,193.8084315,1.938084315,6,8.9,8.9,5.5,5.8,5.7,9.401786723,24430.37814
Portugal,25.21,295208.8982,74422.16324,74.42216324,0.744221632,6.2,8.5,3.5,5.8,5,5.2,2.952088982,28382.46899
Slovak Republic,18.359,150154.6756,27566.89689,27.56689689,0.275668969,6,8.8,9.1,5.9,6.3,5.9,1.501546756,27711.18217
Slovenia,23.717,61789.5559,14654.62897,14.65462897,0.14654629,6.4,9.3,8.4,6.6,6.1,6,0.617895559,29968.74376
Spain,26.767,1541156.252,412521.294,412.521294,4.12521294,5.6,9.2,5.4,6.9,7.5,6.2,15.41156252,33168.7529
Sweden,28.112,437803.37,123075.2834,123.0752834,1.230752834,7.4,9.1,8.7,8.5,8,7.4,4.3780337,45152.52215
Switzerland,19.39,468769.7569,90894.45586,90.89445586,0.908944559,7.9,9.4,8.6,4.9,8.1,7.8,4.687697569,57246.29124
United Kingdom,21.738,2565071.783,557595.3042,557.5953042,5.575953042,7.1,9.4,7.7,6.6,7.8,6.9,25.65071783,39709.45234
United States,19.225,17348071.5,3335166.746,3335.166746,33.35166746,6.7,9,8.9,6.7,9,7,173.480715,54353.19247
