country,value1,value2
Australia,18.982,12
Austria,28.414,0
Belgium,30.685,25.2
Canada,16.964,15.9
Czech Republic,20.575,0
Denmark,30.14,23.5
Finland,31.036,20.9
France,31.879,22.8
Germany,25.795,21.9
Greece,24.003,15.5
Hungary,22.127,0
Iceland,16.506,0
Ireland,20.99,16.5
Italy,28.64,20.5
Korea,10.408,0
Luxembourg,23.537,19.9
Netherlands,24.736,26
Norway,22.03,0
Poland,20.614,0
Portugal,25.21,9.8
Slovak Republic,18.359,0
Spain,26.767,17.1
Sweden,28.112,26.2
Switzerland,19.39,14.5
United Kingdom,21.738,19
United States,19.225,12.9
Estonia,16.26,0
Slovenia,23.717,0
