"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","1","Old age","0","Total","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,102176.21,,
"10","Public","1","Old age","0","Total","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,3335075,,
"10","Public","1","Old age","0","Total","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,45294.26739197,,
"10","Public","1","Old age","1","Cash benefits","111","Old age - Pension","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,99879.76,,
"10","Public","1","Old age","1","Cash benefits","111","Old age - Pension","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,3235096,,
"10","Public","1","Old age","1","Cash benefits","111","Old age - Pension","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,22155.088237375,,
"10","Public","1","Old age","1","Cash benefits","112","Old age - Early retirement pension","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,49547,,
"10","Public","1","Old age","1","Cash benefits","113","Old age - Other cash benefits","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,2296.45,,
"10","Public","1","Old age","1","Cash benefits","113","Old age - Other cash benefits","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,37862,,
"10","Public","1","Old age","1","Cash benefits","113","Old age - Other cash benefits","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,21841.8,,
"10","Public","1","Old age","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,102176.21,,
"10","Public","1","Old age","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,3322505,,
"10","Public","1","Old age","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,43996.888237375,,
"10","Public","1","Old age","2","Benefits in kind","121","Old age - Residential care / Home-help services","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,0,,
"10","Public","1","Old age","2","Benefits in kind","121","Old age - Residential care / Home-help services","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,12570,,
"10","Public","1","Old age","2","Benefits in kind","121","Old age - Residential care / Home-help services","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,599.05514158627,,
"10","Public","1","Old age","2","Benefits in kind","122","Old age - Other benefits in kind","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,0,,
"10","Public","1","Old age","2","Benefits in kind","122","Old age - Other benefits in kind","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,698.32401300949,,
"10","Public","1","Old age","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,0,,
"10","Public","1","Old age","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,12570,,
"10","Public","1","Old age","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,1297.3791545957,,
"10","Public","2","Survivors","0","Total","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,24480.56,,
"10","Public","2","Survivors","0","Total","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,833866,,
"10","Public","2","Survivors","0","Total","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,6603.4803444659,,
"10","Public","2","Survivors","1","Cash benefits","211","Survivors - Pension","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,24170.66,,
"10","Public","2","Survivors","1","Cash benefits","211","Survivors - Pension","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,799223,,
"10","Public","2","Survivors","1","Cash benefits","211","Survivors - Pension","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,1962.0803444659,,
"10","Public","2","Survivors","1","Cash benefits","212","Survivors - Other cash benefits","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,268.16,,
"10","Public","2","Survivors","1","Cash benefits","212","Survivors - Other cash benefits","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,18345,,
"10","Public","2","Survivors","1","Cash benefits","212","Survivors - Other cash benefits","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,4378.5,,
"10","Public","2","Survivors","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,24438.82,,
"10","Public","2","Survivors","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,817568,,
"10","Public","2","Survivors","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,6340.5803444659,,
"10","Public","2","Survivors","2","Benefits in kind","221","Survivors - Funeral expenses","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,41.74,,
"10","Public","2","Survivors","2","Benefits in kind","221","Survivors - Funeral expenses","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,16298,,
"10","Public","2","Survivors","2","Benefits in kind","221","Survivors - Funeral expenses","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,252.9,,
"10","Public","2","Survivors","2","Benefits in kind","222","Survivors - Other benefits in kind","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,0,,
"10","Public","2","Survivors","2","Benefits in kind","222","Survivors - Other benefits in kind","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,10,,
"10","Public","2","Survivors","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,41.74,,
"10","Public","2","Survivors","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,16298,,
"10","Public","2","Survivors","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,262.9,,
"10","Public","3","Incapacity related","0","Total","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,2891.62,,
"10","Public","3","Incapacity related","0","Total","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,954650,,
"10","Public","3","Incapacity related","0","Total","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,31473.277978346,,
"10","Public","3","Incapacity related","1","Cash benefits","311","Incapacity related - Disability pensions","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,1533.67,,
"10","Public","3","Incapacity related","1","Cash benefits","311","Incapacity related - Disability pensions","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,618822,,
"10","Public","3","Incapacity related","1","Cash benefits","311","Incapacity related - Disability pensions","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,15013.961562019,,
"10","Public","3","Incapacity related","1","Cash benefits","312","Incapacity related - Pensions (occupational injury and disease)","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,448.05,,
"10","Public","3","Incapacity related","1","Cash benefits","312","Incapacity related - Pensions (occupational injury and disease)","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,16085,,
"10","Public","3","Incapacity related","1","Cash benefits","312","Incapacity related - Pensions (occupational injury and disease)","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,3192.5,,
"10","Public","3","Incapacity related","1","Cash benefits","313","Incapacity related - Paid sick leave (occupational injury and disease)","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,7936,,
"10","Public","3","Incapacity related","1","Cash benefits","314","Incapacity related - Paid sick leave (other sickness daily allowances)","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,863.46,,
"10","Public","3","Incapacity related","1","Cash benefits","314","Incapacity related - Paid sick leave (other sickness daily allowances)","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,302681,,
"10","Public","3","Incapacity related","1","Cash benefits","315","Incapacity related - Other cash benefits","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,46.44,,
"10","Public","3","Incapacity related","1","Cash benefits","315","Incapacity related - Other cash benefits","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,744,,
"10","Public","3","Incapacity related","1","Cash benefits","315","Incapacity related - Other cash benefits","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,3115.3,,
"10","Public","3","Incapacity related","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,2891.62,,
"10","Public","3","Incapacity related","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,946268,,
"10","Public","3","Incapacity related","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,21321.761562019,,
"10","Public","3","Incapacity related","2","Benefits in kind","321","Incapacity related - Residential care / Home-help services","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,0,,
"10","Public","3","Incapacity related","2","Benefits in kind","321","Incapacity related - Residential care / Home-help services","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,0,,
"10","Public","3","Incapacity related","2","Benefits in kind","321","Incapacity related - Residential care / Home-help services","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,6030.6975837642,,
"10","Public","3","Incapacity related","2","Benefits in kind","322","Incapacity related - Rehabilitation services","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,8260,,
"10","Public","3","Incapacity related","2","Benefits in kind","322","Incapacity related - Rehabilitation services","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,2240.8955212185,,
"10","Public","3","Incapacity related","2","Benefits in kind","323","Incapacity related - Other benefits in kind","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,0,,
"10","Public","3","Incapacity related","2","Benefits in kind","323","Incapacity related - Other benefits in kind","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,122,,
"10","Public","3","Incapacity related","2","Benefits in kind","323","Incapacity related - Other benefits in kind","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,1879.9233113447,,
"10","Public","3","Incapacity related","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,0,,
"10","Public","3","Incapacity related","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,8382,,
"10","Public","3","Incapacity related","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,10151.516416327,,
"10","Public","4","Health","0","Total","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,64578.245,,
"10","Public","4","Health","0","Total","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,4764766.045,,
"10","Public","4","Health","0","Total","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,46470.835671245,,
"10","Public","4","Health","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,0,,
"10","Public","4","Health","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,64578.245,,
"10","Public","4","Health","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,4764766.045,,
"10","Public","4","Health","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,46470.835671245,,
"10","Public","5","Family","0","Total","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,481.34,,
"10","Public","5","Family","0","Total","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,1929607,,
"10","Public","5","Family","0","Total","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,20606.316405665,,
"10","Public","5","Family","1","Cash benefits","511","Family - Family allowances","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,0,,
"10","Public","5","Family","1","Cash benefits","511","Family - Family allowances","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,532974,,
"10","Public","5","Family","1","Cash benefits","511","Family - Family allowances","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,5400.7,,
"10","Public","5","Family","1","Cash benefits","512","Family - Maternity and parental leave","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,481.34,,
"10","Public","5","Family","1","Cash benefits","512","Family - Maternity and parental leave","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,329893,,
"10","Public","5","Family","1","Cash benefits","512","Family - Maternity and parental leave","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,3151,,
"10","Public","5","Family","1","Cash benefits","513","Family - Other cash benefits","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,5260,,
"10","Public","5","Family","1","Cash benefits","513","Family - Other cash benefits","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,236.69960181972,,
"10","Public","5","Family","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,481.34,,
"10","Public","5","Family","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,868127,,
"10","Public","5","Family","1","Cash benefits","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,8788.3996018197,,
"10","Public","5","Family","2","Benefits in kind","521","Family - Early childhood education and care (ECEC)","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,0,,
"10","Public","5","Family","2","Benefits in kind","521","Family - Early childhood education and care (ECEC)","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,602433,,
"10","Public","5","Family","2","Benefits in kind","521","Family - Early childhood education and care (ECEC)","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,9888.0677974484,,
"10","Public","5","Family","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","TUR","Turkey","2013","2013","TRY","Turkish Lira","6","millions",,,0,,
"10","Public","5","Family","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,1061480,,
"10","Public","5","Family","2","Benefits in kind","0","Total","NCUR","At current prices in national currency, in millions","ISR","Israel","2013","2013","ILS","New Israeli Sheqel","6","millions",,,11817.916803845,,
"10","Public","6","Active labour market programmes","0","Total","601","Active labour market programmes - PES and Administration","NCUR","At current prices in national currency, in millions","CHL","Chile","2013","2013","CLP","Chilean Peso","6","millions",,,0,,
