value,country
18.982,Australia
28.414,Austria
30.685,Belgium
16.964,Canada
20.575,Czech Republic
30.14,Denmark
31.036,Finland
31.879,France
25.795,Germany
24.003,Greece
22.127,Hungary
16.506,Iceland
20.99,Ireland
28.64,Italy
10.408,Korea
23.537,Luxembourg
24.736,Netherlands
22.03,Norway
20.614,Poland
25.21,Portugal
18.359,Slovak Republic
26.767,Spain
28.112,Sweden
19.39,Switzerland
21.738,United Kingdom
19.225,United States
16.26,Estonia
23.717,Slovenia
21.638,OECD - Total
