country,value,continent
Australia,18.982,asia
Austria,28.414,easteurope
Belgium,30.685,westeurope
Canada,16.964,northamerica
Czech Republic,20.575,easteurope
Denmark,30.14,northeurope
Finland,31.036,northeurope
France,31.879,westeurope
Germany,25.795,westeurope
Greece,24.003,southeurope
Hungary,22.127,easteurope
Iceland,16.506,northeurope
Ireland,20.99,easteurope
Italy,28.64,southeurope
Korea,10.408,asia
Luxembourg,23.537,westeurope
Netherlands,24.736,westeurope
Norway,22.03,northeurope
Poland,20.614,easteurope
Portugal,25.21,southeurope
Slovak Republic,18.359,easteurope
Spain,26.767,southeurope
Sweden,28.112,northeurope
Switzerland,19.39,northeurope
United Kingdom,21.738,westeurope
United States,19.225,northamerica
Estonia,16.26,easteurope
Slovenia,23.717,southeurope
OECD - Total,21.638,bar
