country,1980,1985,1990,1995,2000,2005,2009,2010,2011,2012,2013,2014
Australia,10.2,12.1,13.1,16.1,17.2,16.4,17.4,17.2,17.8,18.3,19,19
Austria,22.1,23.4,23.4,26.1,26.1,26.8,28.6,28.6,27.7,27.9,28.3,28.4
Belgium,23.5,26,24.9,25.6,24.5,25.6,29.1,28.8,29.4,30.3,30.9,30.7
Canada,13.2,16.4,17.6,18.4,15.8,16.2,18.5,17.9,17.4,17.4,17.2,17
Chile,..,..,9.8,11,12.7,8.7,11.2,10.5,10.1,10.2,10,..
Czech Republic,..,..,14.6,16.6,18.8,18.5,20.3,19.9,20.1,20.2,20.5,20.6
Denmark,24.4,22.9,25,28.7,26,27.3,29.7,29.9,30.1,30.2,30.2,30.1
Estonia,..,..,..,..,13.8,13.1,19.8,18.8,16.8,16.2,16.1,16.3
Finland,18,22,23.8,29.7,23.3,25,28.3,28.7,28.3,29.4,30.6,31
France,20.6,25.8,24.9,29,28.4,29.6,31.5,31.7,31.4,31.5,32,31.9
Germany,21.8,22.2,21.4,25.9,26.2,27,27.6,26.8,25.5,25.4,25.6,25.8
Greece,10.3,16.1,16.5,17.4,19.2,21.1,24.4,24.2,25.7,26.1,24.3,24
Hungary,..,..,..,..,20.5,22.3,24.7,23.5,22.6,22.3,22.1,22.1
Iceland,..,..,13.5,15,15,16.3,18.5,17.9,18.1,17.5,17.1,16.5
Ireland,16,20.8,17.2,17.9,13.1,15.8,23.4,23.3,22.3,22,21.9,21
Israel,..,..,..,16.7,16.8,16,15.8,15.7,15.6,15.5,15.5,..
Italy,18,20.8,21.4,21.7,23.3,24.9,27.8,27.8,27.5,28.1,28.7,28.6
Japan,10.3,11.1,11.1,14.1,16.3,18.4,22,22.1,23.1,..,..,..
Korea,..,..,2.8,3.2,4.8,6.5,9.4,9,9,9.6,10.2,10.4
Luxembourg,20.3,19.8,19.1,20.8,19.6,22,24.3,23,22.5,23.4,23.4,23.5
Mexico,..,1.7,3.2,4.2,5,6.5,7.7,7.8,7.7,7.9,..,..
Netherlands,24.8,25.3,25.6,23.8,19.8,21.8,23.1,23.7,23.5,24.1,24.6,24.7
New Zealand,16.9,17.5,21.2,18.4,18.9,17.9,21,21,20.7,21,20.8,..
Norway,16.3,17.5,21.9,22.9,20.8,21.1,22.8,22.4,21.8,21.7,22,22
Poland,..,..,14.9,22.3,20.3,20.7,20.7,20.7,20.1,20.1,20.7,20.6
Portugal,9.6,10,12.4,16.2,18.6,22.8,25.3,25.2,24.8,24.8,25.8,25.2
Slovak Republic,..,..,..,18.8,17.8,16.1,18.5,18.4,18.1,18.3,18.7,18.4
Slovenia,..,..,0,5.8,22.8,21.8,23,23.9,24,24,23.8,23.7
Spain,15.4,17.6,19.7,21.3,20,20.9,26.1,26.7,26.8,27.1,27.3,26.8
Sweden,26,28.2,28.5,31.8,28.2,28.7,29.4,27.9,27.2,27.7,28.2,28.1
Switzer,13.5,14.3,12.8,16.9,17.2,19.4,19.7,19.5,19.3,19.7,19.9,19.4
Turkey,3.1,3.1,5.5,5.6,..,9.7,13.2,12.6,12.2,12.3,12.5,..
United Kingdom,16.3,19.2,16.3,19.2,18.4,20.2,23.9,22.8,22.7,23,22.5,21.7
United States,12.8,12.8,13.1,15,14.2,15.5,18.5,19.3,19,18.7,18.6,19.2
OECD - Total,15.4,17,17.5,19.3,18.6,19.4,21.9,21.7,21.4,21.6,21.7,21.6
