country,value,,,,,
Australia,18.982,,,,,
Austria,28.414,,,,,
Belgium,30.685,,,,,
Canada,16.964,,,,,
Czech Republic,20.575,,,,,
Denmark,30.14,,,,,
Finland,31.036,,,,,
France,31.879,,,,,
Germany,25.795,,,,,
Greece,24.003,,,,,
Hungary,22.127,,,,,
Iceland,16.506,,,,,
Ireland,20.99,,,,,
Italy,28.64,,,,,
Korea,10.408,,,,,
Luxembourg,23.537,,,,,
Netherlands,24.736,,,,,
Norway,22.03,,,,,
Poland,20.614,,,,,
Portugal,25.21,,,,,
Slovak Republic,18.359,,,,,
Spain,26.767,,,,,
Sweden,28.112,,,,,
Switzerland,19.39,,,,,
United Kingdom,21.738,,,,,
United States,19.225,,,,,
Estonia,16.26,,,,,
Slovenia,23.717,,,,,
OECDTotal,21.638,,,,,
