date,JYP,SM,YG
2015-10-27,4770,46200,46850
2015-10-26,4440,44750,47350
2015-10-23,4390,42000,46500
2015-10-22,4400,42700,48000
2015-10-21,4540,42900,49550
2015-10-20,4725,41100,49000
2015-10-19,4670,41200,49750
2015-10-16,4500,39850,48750
2015-10-15,4445,40300,48100
2015-10-14,4500,40500,48800
2015-10-13,4455,42050,50500
2015-10-12,4570,42500,50200
2015-10-08,4535,41750,52000
2015-10-07,4550,40600,52400
2015-10-06,4370,39650,53700
2015-10-05,4275,39650,52200
2015-10-02,4200,40250,52200
2015-10-01,4190,39750,52100
2015-09-30,4215,39300,52900
2015-09-25,4250,40050,53500
2015-09-24,4220,38900,53600
2015-09-23,4285,39850,55600
2015-09-22,4170,38700,55600
2015-09-21,4250,39200,55100
2015-09-18,4165,39450,55100
2015-09-17,4225,40350,57900
2015-09-16,4200,41250,57600
2015-09-15,4230,40350,57700
2015-09-14,4240,42200,59300
2015-09-11,4260,42000,59800
2015-09-10,4300,40950,58400
2015-09-09,4225,41650,60000
2015-09-08,4170,39950,59600
2015-09-07,4250,39050,57000
2015-09-04,4260,42000,59300
2015-09-03,4320,44500,60600
2015-09-02,4150,42300,56000
2015-09-01,4315,43750,58100
2015-08-31,4320,43600,58200
2015-08-28,4280,45000,58900
2015-08-27,4150,42750,57400
2015-08-26,4015,41700,55600
2015-08-25,3920,39400,52400
2015-08-24,3905,40300,54200
2015-08-21,4085,38900,52500
2015-08-20,4200,41500,53600
2015-08-19,4320,41350,57700
2015-08-18,4675,43050,59600
2015-08-17,4690,42500,58200
2015-08-13,4780,42450,57800
2015-08-12,4940,41600,58700
2015-08-11,4935,39100,56900
2015-08-10,4940,35400,54800
2015-08-07,4980,34700,55600
2015-08-06,5040,35250,57100
2015-08-05,5090,33650,55800
2015-08-04,5150,33300,55400
2015-08-03,5100,31700,53500
2015-07-31,4975,31400,51700
2015-07-30,5160,33650,52500
2015-07-29,5190,33800,51800
2015-07-28,5270,32800,49700
2015-07-27,5470,34900,52000
2015-07-24,5360,34600,52200
2015-07-23,5350,36000,55000
2015-07-22,5200,33100,52300
2015-07-21,5190,34000,53500
2015-07-20,5170,34200,51800
2015-07-17,5320,33500,51300
2015-07-16,5130,32300,49250
2015-07-15,5200,32550,50300
2015-07-14,5010,31850,46550
2015-07-13,5060,33000,46300
2015-07-10,5020,32500,46100
2015-07-09,5120,31650,46300
2015-07-08,5140,32000,46200
2015-07-07,5030,32100,46550
2015-07-06,4985,33150,47050
2015-07-03,4880,32650,48450
2015-07-02,4925,32750,48600
2015-07-01,5040,32300,48350
2015-06-30,4820,31400,46150
2015-06-29,4995,32400,47050
2015-06-26,5140,33200,48600
2015-06-25,5030,32450,48300
2015-06-24,5100,32600,48600
2015-06-23,4840,32050,46700
2015-06-22,4775,32400,45900
2015-06-19,4690,32900,46850
2015-06-18,4715,32850,47000
2015-06-17,4700,31600,46050
2015-06-16,4835,30700,45100
2015-06-15,4790,31800,46000
2015-06-12,4815,32000,46000
2015-06-11,4690,33450,45550
2015-06-10,4765,33800,46450
2015-06-09,4550,33750,46550
2015-06-08,4475,33900,46400
2015-06-05,4545,32900,46300
2015-06-04,4415,33750,46100
2015-06-03,4485,33450,46400
2015-06-02,4790,34050,49100
2015-06-01,4900,33550,49800
2015-05-29,4855,34400,50200
2015-05-28,4885,32300,50000
2015-05-27,5030,31400,50400
2015-05-26,5150,32550,51800
2015-05-22,5130,34450,53200
2015-05-21,5100,34500,52100
2015-05-20,5300,34200,52100
2015-05-19,5290,33150,51800
2015-05-18,5240,31750,51600
2015-05-15,5420,31100,49900
2015-05-14,5410,31100,48500
2015-05-13,5270,31350,48400
2015-05-12,5350,30950,47450
2015-05-11,5300,31000,46050
2015-05-08,5040,30700,45400
2015-05-07,5120,30650,45650
2015-05-06,5150,31350,47000
2015-05-04,5470,31900,47700
2015-04-30,5460,30950,47300
2015-04-29,5550,30950,47750
2015-04-28,5650,31000,48650
2015-04-27,5680,30500,47000
