year,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,합계
2005,28,19,18,19,25,21,24,15,20,8,21,27,27,16,26,13,19,27,16,32,20,11,24,13,11,485
2006,37,16,7,24,12,11,22,10,16,9,25,22,22,10,23,15,24,27,14,28,14,18,15,16,14,452
2007,30,19,11,19,18,17,13,14,26,11,27,24,24,13,21,16,9,17,16,35,20,16,12,12,20,452
2008,25,13,12,22,13,17,22,14,22,17,41,12,12,14,17,17,19,30,21,36,19,16,23,13,17,482
2009,27,22,20,15,14,26,15,21,21,17,27,29,29,26,24,13,15,22,18,33,20,15,18,12,15,501
2010,31,14,16,21,16,17,14,12,25,11,25,22,22,15,20,15,10,16,12,30,15,16,19,7,17,429
2011,36,13,7,16,17,23,15,10,14,15,13,23,23,14,17,21,22,36,14,28,9,20,14,13,12,435
2012,25,18,9,25,20,17,21,21,13,16,20,23,23,13,25,6,11,14,14,32,11,21,12,12,11,424
2013,31,12,10,26,20,10,19,10,13,8,16,23,23,14,19,8,9,21,14,29,13,10,13,10,9,378
2014,17,14,12,32,22,12,19,13,17,14,27,20,20,16,13,11,17,24,13,26,8,11,11,7,11,400
