area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,17,0,0,1,3,4,3,0,1,5,0
강동구,14,0,0,1,1,1,3,0,2,6,0
강북구,12,0,0,0,3,1,0,0,2,6,0
강서구,32,0,3,7,1,3,5,2,4,7,0
관악구,22,0,1,4,1,4,3,1,0,8,0
광진구,12,0,1,0,3,1,3,1,1,2,0
구로구,19,0,2,1,1,5,2,2,0,6,0
금천구,13,0,0,2,1,2,2,0,2,4,0
노원구,17,1,1,1,0,1,4,1,2,6,0
도봉구,14,0,1,1,1,0,4,2,1,4,0
동대문구,27,0,1,3,2,5,5,0,4,7,0
동작구,13,1,1,1,1,1,4,0,0,4,0
마포구,20,0,3,2,2,3,3,2,2,3,0
서대문구,16,1,1,1,1,4,1,2,0,5,0
서초구,13,0,0,1,0,2,4,3,2,1,0
성동구,11,0,0,1,4,1,1,0,0,4,0
성북구,17,0,1,3,3,3,3,0,1,3,0
송파구,24,0,4,0,2,2,7,2,1,6,0
양천구,13,0,0,0,2,2,3,0,2,4,0
영등포구,26,1,4,0,0,2,7,4,3,5,0
용산구,8,0,0,1,1,0,4,1,0,1,0
은평구,11,0,2,0,1,0,4,2,0,2,0
종로구,11,0,0,2,1,1,2,2,0,3,0
중구,7,0,0,0,2,1,1,2,0,1,0
중랑구,11,0,1,1,1,3,2,0,1,2,0
합계,400,4,27,34,38,52,80,29,31,105,0
