year,accident,injury,14_injury,1520_injury,2130_injury,3140_injury,4150_injury,5160_injury,6164_injury,6570_injury,71_injury
2005,1304,1849,153,135,340,442,470,189,57,29,34
2006,1273,1878,134,148,372,409,461,240,41,37,36
2007,1185,1737,141,184,331,317,374,254,54,46,36
2008,1533,2122,148,268,386,420,433,300,60,65,42
2009,1732,2413,173,243,434,467,523,373,75,65,60
2010,1463,2070,137,196,348,393,473,339,71,65,48
2011,1444,2006,123,214,335,350,432,341,90,70,51
2012,1418,2036,112,222,315,355,426,398,79,61,68
2013,1340,1905,103,172,289,357,382,377,78,66,81
2014,1466,2000,132,190,303,344,402,364,94,84,87
