Period,District,Accident Type,Total
2009,Jongno,Killed,18
2009,Jongno,Injured,"2,211"
2009,Jung,Killed,12
2009,Jung,Injured,"2,078"
2009,Yongsan,Killed,20
2009,Yongsan,Injured,"1,927"
2009,Seongdong,Killed,13
2009,Seongdong,Injured,"1,745"
2009,Gwangjin,Killed,26
2009,Gwangjin,Injured,"2,335"
2009,Dongdaemun,Killed,27
2009,Dongdaemun,Injured,"2,615"
2009,Jungnang,Killed,15
2009,Jungnang,Injured,"2,825"
2009,Seongbuk,Killed,15
2009,Seongbuk,Injured,"2,617"
2009,Gangbuk,Killed,20
2009,Gangbuk,Injured,"1,949"
2009,Dobong,Killed,17
2009,Dobong,Injured,"1,405"
2009,Nowon,Killed,21
2009,Nowon,Injured,"2,602"
2009,Eunpyeong,Killed,15
2009,Eunpyeong,Injured,"2,379"
2009,Seodaemun,Killed,26
2009,Seodaemun,Injured,"1,811"
2009,Mapo,Killed,29
2009,Mapo,Injured,"2,526"
2009,Yangcheon,Killed,18
2009,Yangcheon,Injured,"2,413"
2009,Gangseo,Killed,15
2009,Gangseo,Injured,"2,867"
2009,Guro,Killed,15
2009,Guro,Injured,"2,364"
2009,Geumcheon,Killed,21
2009,Geumcheon,Injured,"1,649"
2009,Yeongdeungpo,Killed,33
2009,Yeongdeungpo,Injured,"3,448"
2009,Dongjak,Killed,16
2009,Dongjak,Injured,"1,801"
2009,Gwanak,Killed,14
2009,Gwanak,Injured,"2,778"
2009,Seocho,Killed,24
2009,Seocho,Injured,"3,570"
2009,Gangnam,Killed,27
2009,Gangnam,Injured,"5,455"
2009,Songpa,Killed,22
2009,Songpa,Injured,"4,084"
2009,Gangdong,Killed,22
2009,Gangdong,Injured,"2,130"
2010,Jongno,Killed,19
2010,Jongno,Injured,"2,009"
2010,Jung,Killed,7
2010,Jung,Injured,"2,152"
2010,Yongsan,Killed,15
2010,Yongsan,Injured,"1,738"
2010,Seongdong,Killed,15
2010,Seongdong,Injured,"1,528"
2010,Gwangjin,Killed,17
2010,Gwangjin,Injured,"2,212"
2010,Dongdaemun,Killed,25
2010,Dongdaemun,Injured,"2,484"
2010,Jungnang,Killed,17
2010,Jungnang,Injured,"2,841"
2010,Seongbuk,Killed,10
2010,Seongbuk,Injured,"2,197"
2010,Gangbuk,Killed,16
2010,Gangbuk,Injured,"1,780"
2010,Dobong,Killed,11
2010,Dobong,Injured,"1,362"
2010,Nowon,Killed,25
2010,Nowon,Injured,"2,434"
2010,Eunpyeong,Killed,16
2010,Eunpyeong,Injured,"2,120"
2010,Seodaemun,Killed,15
2010,Seodaemun,Injured,"1,719"
2010,Mapo,Killed,22
2010,Mapo,Injured,"2,697"
2010,Yangcheon,Killed,12
2010,Yangcheon,Injured,"2,070"
2010,Gangseo,Killed,21
2010,Gangseo,Injured,"2,594"
2010,Guro,Killed,14
2010,Guro,Injured,"2,270"
2010,Geumcheon,Killed,12
2010,Geumcheon,Injured,"1,702"
2010,Yeongdeungpo,Killed,30
2010,Yeongdeungpo,Injured,"3,348"
2010,Dongjak,Killed,13
2010,Dongjak,Injured,"1,594"
2010,Gwanak,Killed,16
2010,Gwanak,Injured,"2,632"
2010,Seocho,Killed,20
2010,Seocho,Injured,"3,372"
2010,Gangnam,Killed,31
2010,Gangnam,Injured,"5,176"
2010,Songpa,Killed,16
2010,Songpa,Injured,"3,742"
2010,Gangdong,Killed,14
2010,Gangdong,Injured,"1,945"
2011,Jongno,Killed,14
2011,Jongno,Injured,"1,994"
2011,Jung,Killed,13
2011,Jung,Injured,"2,025"
2011,Yongsan,Killed,9
2011,Yongsan,Injured,"1,704"
2011,Seongdong,Killed,21
2011,Seongdong,Injured,"1,603"
2011,Gwangjin,Killed,23
2011,Gwangjin,Injured,"2,033"
2011,Dongdaemun,Killed,13
2011,Dongdaemun,Injured,"2,431"
2011,Jungnang,Killed,12
2011,Jungnang,Injured,"2,386"
2011,Seongbuk,Killed,22
2011,Seongbuk,Injured,"2,103"
2011,Gangbuk,Killed,7
2011,Gangbuk,Injured,"1,648"
2011,Dobong,Killed,15
2011,Dobong,Injured,"1,279"
2011,Nowon,Killed,14
2011,Nowon,Injured,"2,231"
2011,Eunpyeong,Killed,20
2011,Eunpyeong,Injured,"2,058"
2011,Seodaemun,Killed,14
2011,Seodaemun,Injured,"1,496"
2011,Mapo,Killed,23
2011,Mapo,Injured,"2,530"
2011,Yangcheon,Killed,14
2011,Yangcheon,Injured,"2,006"
2011,Gangseo,Killed,16
2011,Gangseo,Injured,"2,740"
2011,Guro,Killed,15
2011,Guro,Injured,"2,226"
2011,Geumcheon,Killed,10
2011,Geumcheon,Injured,"1,649"
2011,Yeongdeungpo,Killed,28
2011,Yeongdeungpo,Injured,"3,326"
2011,Dongjak,Killed,13
2011,Dongjak,Injured,"1,676"
2011,Gwanak,Killed,17
2011,Gwanak,Injured,"2,396"
2011,Seocho,Killed,17
2011,Seocho,Injured,"3,189"
2011,Gangnam,Killed,36
2011,Gangnam,Injured,"5,184"
2011,Songpa,Killed,36
2011,Songpa,Injured,"3,632"
2011,Gangdong,Killed,13
2011,Gangdong,Injured,"2,080"
2012,Jongno,Killed,12
2012,Jongno,Injured,"1,994"
2012,Jung,Killed,12
2012,Jung,Injured,"2,018"
2012,Yongsan,Killed,11
2012,Yongsan,Injured,"1,809"
2012,Seongdong,Killed,6
2012,Seongdong,Injured,"1,400"
2012,Gwangjin,Killed,17
2012,Gwangjin,Injured,"2,190"
2012,Dongdaemun,Killed,20
2012,Dongdaemun,Injured,"2,511"
2012,Jungnang,Killed,11
2012,Jungnang,Injured,"2,401"
2012,Seongbuk,Killed,11
2012,Seongbuk,Injured,"2,055"
2012,Gangbuk,Killed,9
2012,Gangbuk,Injured,"1,680"
2012,Dobong,Killed,16
2012,Dobong,Injured,"1,294"
2012,Nowon,Killed,13
2012,Nowon,Injured,"2,330"
2012,Eunpyeong,Killed,21
2012,Eunpyeong,Injured,"2,197"
2012,Seodaemun,Killed,13
2012,Seodaemun,Injured,"1,645"
2012,Mapo,Killed,23
2012,Mapo,Injured,"2,363"
2012,Yangcheon,Killed,14
2012,Yangcheon,Injured,"2,036"
2012,Gangseo,Killed,25
2012,Gangseo,Injured,"2,573"
2012,Guro,Killed,21
2012,Guro,Injured,"2,366"
2012,Geumcheon,Killed,21
2012,Geumcheon,Injured,"1,540"
2012,Yeongdeungpo,Killed,32
2012,Yeongdeungpo,Injured,"3,206"
2012,Dongjak,Killed,14
2012,Dongjak,Injured,"1,707"
2012,Gwanak,Killed,20
2012,Gwanak,Injured,"2,299"
2012,Seocho,Killed,25
