area,accident_2014,accident_2013,accident_2012,accident_2011,accident_2010,accident_2009,accident_2008,accident_2007,accident_2006,accident_2005
종로구,1314,1274,1374,1421,1436,1579,1565,1590,1361,1502
중구,1305,1442,1458,1497,1540,1539,1435,1412,1388,1333
용산구,1350,1391,1203,1170,1245,1345,1233,1287,1329,1360
성동구,1189,1100,986,1154,1097,1271,1141,1187,1055,1146
광진구,1480,1303,1494,1430,1540,1656,1648,1675,1600,1564
동대문구,1848,1970,1881,1777,1834,1983,1678,1757,1748,1700
중랑구,1622,1716,1753,1782,2080,2032,2039,2071,1824,1850
성북구,1664,1536,1572,1569,1611,1905,1781,1391,1564,1550
강북구,1313,1107,1212,1174,1293,1392,1373,1263,1258,1136
도봉구,919,934,983,933,975,988,1036,796,856,928
노원구,1516,1522,1623,1529,1683,1829,1742,1707,1583,1722
은평구,1325,1270,1519,1509,1514,1739,1596,1315,1391,1373
서대문구,1122,1081,1041,1061,1141,1231,1081,1031,935,1049
마포구,1759,1747,1561,1623,1726,1658,1673,1439,1589,1552
양천구,1466,1340,1418,1444,1463,1732,1533,1185,1273,1304
강서구,1806,1715,1767,1885,1872,1994,2056,1769,1687,1794
구로구,1566,1415,1582,1542,1568,1583,1577,1479,1396,1387
금천구,1029,939,1017,1125,1123,1081,961,864,871,802
영등포구,2193,2157,2179,2310,2253,2336,2211,2197,2166,2186
동작구,1399,1233,1258,1192,1131,1233,969,1086,1051,1193
관악구,1716,1753,1713,1737,1851,1979,1944,1844,1669,1644
서초구,2217,2055,2090,2048,2152,2228,1985,1784,1625,1571
강남구,3624,3610,3843,3562,3551,3723,3131,3311,3321,3126
송파구,2608,2473,2844,2554,2573,2739,2622,2491,2487,2508
강동구,1442,1356,1458,1423,1410,1545,1692,1479,1271,1330
