Period,Location,Type,Total,14 and less,15~20 Years Old,21~30 Years Old,31~40 Years Old,41~50 Years Old,51~60 Years Old,61~64 Years Old,65~70 Years Old,71 and over
2014,Jongno-gu,Killed,11,-,-,2,1,1,2,2,-,3
2014,Jongno-gu,Injured,1790,50,72,390,350,373,327,86,81,61
2014,Jung-gu,Killed,7,-,-,-,2,1,1,2,-,1
2014,Jung-gu,Injured,1785,35,69,324,424,343,326,98,106,60
2014,Yongsan-gu,Killed,8,-,-,1,1,-,4,1,-,1
2014,Yongsan-gu,Injured,1971,46,81,436,461,343,362,78,89,75
2014,Seongdong-gu,Killed,11,-,-,1,4,1,1,-,-,4
2014,Seongdong-gu,Injured,1712,56,120,295,346,310,358,70,81,76
2014,Gwangjin-gu,Killed,12,-,1,-,3,1,3,1,1,2
2014,Gwangjin-gu,Injured,2081,119,183,418,406,343,356,84,92,80
2014,Dongdaemun-gu,Killed,27,-,1,3,2,5,5,-,4,7
2014,Dongdaemun-gu,Injured,2407,89,180,422,403,423,509,100,142,139
2014,Jungnang-gu,Killed,11,-,1,1,1,3,2,-,1,2
2014,Jungnang-gu,Injured,2180,103,236,344,333,375,458,116,103,112
2014,Seongbuk_gu,Killed,17,-,1,3,3,3,3,-,1,3
2014,Seongbuk_gu,Injured,2227,134,189,398,419,374,364,105,125,119
2014,Gangbuk-gu,Killed,12,-,-,-,3,1,-,-,2,6
2014,Gangbuk-gu,Injured,1773,75,175,279,281,321,352,88,98,104
2014,Dobong-gu,Killed,14,-,1,1,1,-,4,2,1,4
2014,Dobong-gu,Injured,1205,71,112,174,180,192,250,58,74,94
2014,Nowon-gu,Killed,17,1,1,1,-,1,4,1,2,6
2014,Nowon-gu,Injured,2038,119,223,302,363,395,340,85,84,127
2014,Eunpyeong-gu,Killed,11,-,2,-,1,-,4,2,-,2
2014,Eunpyeong-gu,Injured,1889,124,213,272,315,304,360,100,91,110
2014,Seodaemun-gu,Killed,16,1,1,1,1,4,1,2,-,5
2014,Seodaemun-gu,Injured,1590,86,122,323,286,269,269,71,80,84
2014,Mapo-gu,Killed,20,-,3,2,2,3,3,2,2,3
2014,Mapo-gu,Injured,2633,71,170,590,599,461,457,100,92,93
2014,Yangcheon-gu,Killed,13,-,-,-,2,2,3,-,2,4
2014,Yangcheon-gu,Injured,2000,132,190,303,344,402,364,94,84,87
2014,Gangseo-gu,Killed,32,-,3,7,1,3,5,2,4,7
2014,Gangseo-gu,Injured,2614,123,207,414,521,482,495,126,124,122
2014,Guro-gu,Killed,19,-,2,1,1,5,2,2,-,6
2014,Guro-gu,Injured,2205,110,168,346,409,408,436,109,120,99
2014,Geumcheon-gu,Killed,13,-,-,2,1,2,2,-,2,4
2014,Geumcheon-gu,Injured,1535,75,126,232,265,308,296,83,80,70
2014,Yeongdeungpo-gu,Killed,26,1,4,-,-,2,7,4,3,5
2014,Yeongdeungpo-gu,Injured,3128,118,177,563,653,637,559,153,136,132
2014,Dongjak-gu,Killed,13,1,1,1,1,1,4,-,-,4
2014,Dongjak-gu,Injured,1901,91,166,348,409,312,339,84,68,84
2014,Gwanak-gu,Killed,22,-,1,4,1,4,3,1,-,8
2014,Gwanak-gu,Injured,2317,75,159,531,452,352,395,119,109,125
2014,Seocho-gu,Killed,13,-,-,1,-,2,4,3,2,1
2014,Seocho-gu,Injured,3446,114,147,688,821,701,611,151,131,82
2014,Gangnam-gu,Killed,17,-,-,1,3,4,3,-,1,5
2014,Gangnam-gu,Injured,5269,179,252,1241,1337,960,822,191,171,116
2014,Songpa-gu,Killed,24,-,4,-,2,2,7,2,1,6
2014,Songpa-gu,Injured,3635,202,324,612,687,702,664,146,177,121
2014,Gangdong-gu,Killed,14,-,-,1,1,1,3,-,2,6
2014,Gangdong-gu,Injured,2014,118,169,306,308,379,428,104,111,91
