region,occurrence,deaths,injuries
Jong-ro,75,1,148
Joong,74,1,139
Yong-san,118,1,208
Seong-dong,99,1,187
Gwang-jin,160,4,280
Dong-dae-mun,130,0,235
Joong-lang,115,1,204
Seong-buk,110,2,188
Gang-buk,85,0,183
Do-bong,71,2,129
No-won,128,2,246
Eun-pyeong,105,1,196
Seo-dae-mun,92,1,149
Ma-po,176,2,328
Yang-cheon,106,4,187
Gang-seo,164,1,311
Gu-ro,193,3,328
Geum-cheon,119,4,217
Young-deung-po,231,1,450
Dong-jak,117,1,188
Gwan-ak,167,2,289
Seo-cho,223,4,407
Gang-nam,478,5,933
Song-pa,251,3,451
Gang-dong,113,2,236
