year,district,total,aa,bb,cc,dd,ee,ff,gg,hh,ii
2014,Jongno-gu,1790,50,72,390,350,373,327,86,81,61
2014,jung-gu,1785,35,69,324,424,343,326,98,106,60
2014,Yongsan-gu,1971,46,81,436,461,343,362,78,89,75
2014,Seongdong-gu,1712,56,120,295,346,310,358,70,81,76
2014,gwangjin,2081,119,183,418,406,343,356,84,92,80
2014,Dongdaemun-gu,2407,89,180,422,403,423,509,100,142,139
2014,Jungnang-gu,2180,103,236,344,333,375,458,116,103,112
2014,Seongbuk-gu,2227,134,189,398,419,374,364,105,125,119
2014,Gangbuk-gu,1773,75,175,279,281,321,352,88,98,104
2014,Dobong-gu,1205,71,112,174,180,192,250,58,74,94
2014,Nowon-gu,2038,119,223,302,363,395,340,85,84,127
2014,Eunpyeong-gu,1889,124,213,272,315,304,360,100,91,110
2014,Seodaemun-gu,1590,86,122,323,286,269,269,71,80,84
2014,Mapo-gu,2633,71,170,590,599,461,457,100,92,93
2014,Yangcheon-gu,2000,132,190,303,344,402,364,94,84,87
2014,Gangseo-gu,2614,123,207,414,521,482,495,126,124,122
2014,Guro-gu,2205,110,168,346,409,408,436,109,120,99
2014,Geumcheon-gu,1535,75,126,232,265,308,296,83,80,70
2014,Yeongdeungpo-gu,3128,118,177,563,653,637,559,153,136,132
2014,Dongjak-gu,1901,91,166,348,409,312,339,84,68,84
2014,Gwanak-gu,2317,75,159,531,452,352,395,119,109,125
2014,Seocho-gu,3446,114,147,688,821,701,611,151,131,82
2014,Gangnam-gu,5269,179,252,1241,1337,960,822,191,171,116
2014,Songpa-gu,3635,202,324,612,687,702,664,146,177,121
2014,Gangdong-gu,2014,118,169,306,308,379,428,104,111,91
