기간,지역,구분,합계,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
2014,합계,사망자수,400,4,27,34,38,52,80,29,31,105
2014,합계,부상자수,"57,345","2,515","4,230","10,551","11,372","10,469","10,497","2,599","2,649","2,463"
2014,종로구,사망자수,11,-,-,2,1,1,2,2,-,3
2014,종로구,부상자수,"1,790",50,72,390,350,373,327,86,81,61
2014,중구,사망자수,7,-,-,-,2,1,1,2,-,1
2014,중구,부상자수,"1,785",35,69,324,424,343,326,98,106,60
2014,용산구,사망자수,8,-,-,1,1,-,4,1,-,1
2014,용산구,부상자수,1971,46,81,436,461,343,362,78,89,75
2014,성동구,사망자수,11,-,-,1,4,1,1,-,-,4
2014,성동구,부상자수,1712,56,120,295,346,310,358,70,81,76
2014,광진구,사망자수,12,-,1,-,3,1,3,1,1,2
2014,광진구,부상자수,2081,119,183,418,406,343,356,84,92,80
2014,동대문구,사망자수,27,-,1,3,2,5,5,-,4,7
2014,동대문구,부상자수,2407,89,180,422,403,423,509,100,142,139
2014,중랑구,사망자수,11,-,1,1,1,3,2,-,1,2
2014,중랑구,부상자수,2180,103,236,344,333,375,458,116,103,112
2014,성북구,사망자수,17,-,1,3,3,3,3,-,1,3
2014,성북구,부상자수,2227,134,189,398,419,374,364,105,125,119
2014,강북구,사망자수,12,-,-,-,3,1,-,-,2,6
2014,강북구,부상자수,1773,75,175,279,281,321,352,88,98,104
2014,도봉구,사망자수,14,-,1,1,1,-,4,2,1,4
2014,도봉구,부상자수,1205,71,112,174,180,192,250,58,74,94
2014,노원구,사망자수,17,1,1,1,-,1,4,1,2,6
2014,노원구,부상자수,2038,119,223,302,363,395,340,85,84,127
2014,은평구,사망자수,11,-,2,-,1,-,4,2,-,2
2014,은평구,부상자수,1889,124,213,272,315,304,360,100,91,110
2014,서대문구,사망자수,16,1,1,1,1,4,1,2,-,5
2014,서대문구,부상자수,1590,86,122,323,286,269,269,71,80,84
2014,마포구,사망자수,20,-,3,2,2,3,3,2,2,3
2014,마포구,부상자수,2633,71,170,590,599,461,457,100,92,93
2014,양천구,사망자수,13,-,-,-,2,2,3,-,2,4
2014,양천구,부상자수,2000,132,190,303,344,402,364,94,84,87
2014,강서구,사망자수,32,-,3,7,1,3,5,2,4,7
2014,강서구,부상자수,2614,123,207,414,521,482,495,126,124,122
2014,구로구,사망자수,19,-,2,1,1,5,2,2,-,6
2014,구로구,부상자수,2205,110,168,346,409,408,436,109,120,99
2014,금천구,사망자수,13,-,-,2,1,2,2,-,2,4
2014,금천구,부상자수,1535,75,126,232,265,308,296,83,80,70
2014,영등포구,사망자수,26,1,4,-,-,2,7,4,3,5
2014,영등포구,부상자수,3128,118,177,563,653,637,559,153,136,132
2014,동작구,사망자수,13,1,1,1,1,1,4,-,-,4
2014,동작구,부상자수,1901,91,166,348,409,312,339,84,68,84
2014,관악구,사망자수,22,-,1,4,1,4,3,1,-,8
2014,관악구,부상자수,2317,75,159,531,452,352,395,119,109,125
2014,서초구,사망자수,13,-,-,1,-,2,4,3,2,1
2014,서초구,부상자수,3446,114,147,688,821,701,611,151,131,82
2014,강남구,사망자수,17,-,-,1,3,4,3,-,1,5
2014,강남구,부상자수,5269,179,252,1241,1337,960,822,191,171,116
2014,송파구,사망자수,24,-,4,-,2,2,7,2,1,6
2014,송파구,부상자수,3635,202,324,612,687,702,664,146,177,121
2014,강동구,사망자수,14,-,-,1,1,1,3,-,2,6
2014,강동구,부상자수,2014,118,169,306,308,379,428,104,111,91
,,,,,,,,,,,,
