기간	지역	구분	합계	14세 이하	15~20세	21~30세	31~40세	41~50세	51~60세	61-64세	65~70세	71세이상
2005	합계	사망자수	485	23	28	77	69	72	69	36	41	70
2006	합계	사망자수	452	17	35	67	56	73	66	31	40	66
2007	합계	사망자수	452	13	40	70	50	84	56	21	36	81
2008	합계	사망자수	482	17	26	91	51	80	68	24	43	78
2009	합계	사망자수	501	14	29	76	56	85	71	25	54	91
2010	합계	사망자수	429	16	22	60	48	59	76	23	43	82
2011	합계	사망자수	435	4	33	72	40	67	69	27	38	85
2012	합계	사망자수	424	6	23	43	45	46	90	27	60	84
2013	합계	사망자수	378	5	20	47	44	48	70	16	38	90
2014	합계	사망자수	400	4	27	34	38	52	80	29	31	105
