year	region	events	killed	injured
2012	종로구	89	1	176
2012	중구	84	1	159
2012	용산구	99	1	202
2012	성동구	100	1	179
2012	광진구	167	3	305
2012	동대문구	143	2	265
2012	중랑구	114	1	223
2012	성북구	101	1	160
2012	강북구	100	0	170
2012	도봉구	78	2	141
2012	노원구	125	0	240
2012	은평구	109	2	182
2012	서대문구	94	1	163
2012	마포구	167	3	328
2012	양천구	118	1	234
2012	강서구	161	1	283
2012	구로구	209	5	385
2012	금천구	124	2	229
2012	영등포구	215	0	403
2012	동작구	124	0	212
2012	관악구	134	1	218
2012	서초구	253	3	515
2012	강남구	522	4	970
2012	송파구	284	2	504
2012	강동구	105	3	187
