year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2005,jongnogu,died,24,0,3,4,0,5,4,1,1,6
2005,jongnogu,injured,2185,56,109,552,517,516,280,52,66,37
2005,junggu,died,13,0,2,3,0,1,4,0,1,2
2005,junggu,injured,1857,32,66,484,462,431,230,74,43,35
2005,yongsangu,died,20,0,3,5,5,3,1,2,1,0
2005,yongsangu,injured,2111,80,88,547,537,449,267,55,48,40
2005,sungdonggu,died,13,0,1,3,4,2,2,0,1,0
2005,sungdonggu,injured,1596,66,81,393,375,376,191,46,41,27
2005,gwangjingu,died,21,0,1,4,4,2,4,1,2,3
2005,gwangjingu,injured,2282,136,130,544,542,511,281,62,46,30
2005,dongdaemungu,died,21,3,1,0,2,2,5,4,2,2
2005,dongdaemungu,injured,2489,109,106,603,567,565,347,77,71,44
2005,junglanggu,died,11,1,0,2,1,4,1,1,1,0
2005,junglanggu,injured,2739,164,160,554,606,704,337,83,65,66
2005,sungbukgu,died,19,1,1,4,2,1,2,1,2,5
2005,sungbukgu,injured,2251,153,118,474,513,516,285,82,61,49
2005,gangbukgu,died,18,2,1,1,2,3,6,0,0,3
2005,gangbukgu,injured,1606,113,108,319,353,384,208,55,43,23
2005,dobonggu,died,8,0,0,1,1,1,2,2,1,0
2005,dobonggu,injured,1409,122,108,269,293,300,214,47,25,31
2005,nowongu,died,20,0,1,1,2,4,1,1,2,8
2005,nowongu,injured,2638,210,172,510,566,668,314,84,63,51
2005,enpyunggu,died,11,0,0,1,1,1,3,2,0,3
2005,enpyunggu,injured,1950,147,158,395,400,434,254,50,59,53
2005,sudaemungu,died,16,1,2,2,2,1,1,2,2,3
2005,sudaemungu,injured,1589,93,80,367,385,356,193,52,34,29
2005,mapogu,died,27,1,0,3,5,5,3,3,4,3
2005,mapogu,injured,2517,102,128,656,640,528,307,62,59,35
2005,yangchungu,died,16,2,0,7,2,0,1,1,2,1
2005,yangchungu,injured,1849,153,135,340,442,470,189,57,29,34
2005,gangsugu,died,19,0,0,4,3,2,2,2,0,6
2005,gangsugu,injured,2725,182,185,549,595,679,369,70,48,48
