year,jongnogu,junggu,yongsangu,sungdonggu,gwangjingu,dongdaemungu,junglanggu,sungbukgu,gangbukgu,dobonggu,nowongu,enpyunggu,sudaemungu,mapogu,yangchungu,gangsugu,gulogu,gemchungu,yeongdeungpogu,dongjakgu,gwanakgu,suchogu,gangnamgu,songpagu,gangdonggu
2005,24,13,20,13,21,21,11,19,18,8,20,11,16,27,16,19,24,15,32,12,25,26,28,27,19
2006,15,16,14,15,11,25,14,24,7,9,16,18,10,22,14,24,22,10,28,22,12,23,37,27,16
2007,12,12,20,16,17,27,20,9,11,11,26,16,13,24,16,19,13,14,34,16,18,21,30,17,19
2008,23,12,19,17,16,41,16,19,12,17,22,16,14,12,21,21,22,14,36,10,13,17,25,30,13
2009,18,12,20,13,26,27,15,15,20,17,21,15,26,29,18,15,15,21,33,16,14,24,27,22,22
2010,19,7,15,15,17,25,17,10,16,11,25,16,15,22,12,21,14,12,30,13,16,20,31,16,14
2011,14,13,9,21,23,13,12,22,7,15,14,20,14,23,14,16,15,10,28,13,17,17,36,36,13
2012,12,12,11,6,17,20,11,11,9,16,13,21,13,23,14,25,21,21,32,14,20,25,25,14,18
2013,13,10,13,8,10,16,9,9,10,8,13,10,14,23,14,26,19,10,29,11,20,19,31,21,12
2014,11,7,8,11,12,27,11,17,12,14,17,11,16,20,13,32,19,13,26,13,22,13,17,24,14
