region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Jongro-gu,3,1,1,1,0,0,0,0,0,0
Jung-gu,2,0,0,2,0,0,0,0,0,0
Yongsan-gu,3,0,4,0,2,0,1,0,2,0
Seongdong-gu,1,0,1,0,1,0,1,0,1,0
Gwangjin-gu,1,3,2,4,0,3,4,2,0,1
Dongdaemun-gu,4,0,3,4,2,2,0,1,3,1
Jungnang-gu,1,2,2,1,3,2,1,0,1,1
Seongbuk-gu,2,4,3,0,0,1,4,0,1,1
Gangbuk-gu,3,1,1,0,1,3,1,1,0,0
Dobong-gu,0,0,4,0,1,1,2,1,0,1
Nowon-gu,1,1,2,1,0,3,2,2,2,2
Eunpyeong-gu,0,0,2,3,1,0,1,0,2,2
Seodaemun-gu,3,0,0,0,3,1,0,1,0,2
Mapo-gu,1,1,4,1,6,2,4,2,1,3
Yangcheon-gu,2,2,0,7,2,1,3,0,1,0
Gangseo-gu,0,5,2,4,5,6,0,5,2,3
Guro-gu,1,3,1,2,2,1,0,2,2,2
Geumcheon-gu,4,2,2,3,3,1,1,1,1,0
Yeongdeungpo-gu,3,3,1,0,2,3,3,1,2,5
Dongjak-gu,3,2,2,2,1,1,2,0,0,2
Gwanak-gu,4,1,4,3,1,1,2,2,0,1
Seocho-gu,4,3,2,1,2,1,1,1,1,0
Gangnam-gu,2,7,3,0,2,2,3,1,1,0
Songpa-gu,3,8,4,2,2,0,0,2,0,4
Gangdong-gu,0,3,3,2,1,3,1,4,0,0
