year,region,total,car_person,car_car,car_alone
2014,whole,40792,11118,28201,1473
2014,종로구,1314,386,859,69
2014,중구,1305,352,912,41
2014,용산구,1350,285,1009,56
2014,성동구,1189,295,851,43
2014,광진구,1480,390,1034,56
2014,동대문구,1848,492,1284,72
2014,중랑구,1622,452,1091,79
2014,성북구,1664,464,1136,64
2014,강북구,1313,423,842,48
2014,도봉구,919,312,582,25
2014,노원구,1516,412,1062,42
2014,은평구,1325,445,842,38
2014,서대문구,1122,364,705,53
2014,마포구,1759,451,1260,48
2014,양천구,1466,398,1009,59
2014,강서구,1806,505,1229,72
2014,구로구,1566,452,1066,48
2014,금천구,1029,291,700,38
2014,영등포구,2193,539,1579,75
2014,동작구,1399,405,918,76
2014,관악구,1716,515,1125,76
2014,서초구,2217,556,1587,74
2014,강남구,3624,876,2639,109
2014,송파구,2608,606,1917,85
2014,강동구,1442,452,963,27
2013,합계,39439,10683,27358,1398
2013,종로구,1274,364,856,54
2013,중구,1442,403,1000,39
2013,용산구,1391,298,1030,63
2013,성동구,1100,256,809,35
2013,광진구,1303,332,933,38
2013,동대문구,1970,533,1366,71
2013,중랑구,1716,488,1162,66
2013,성북구,1536,448,1025,63
2013,강북구,1107,399,678,30
2013,도봉구,934,290,619,25
2013,노원구,1522,397,1087,38
2013,은평구,1270,463,762,45
2013,서대문구,1081,323,702,56
2013,마포구,1747,434,1241,72
2013,양천구,1340,379,910,51
2013,강서구,1715,506,1118,91
2013,구로구,1415,406,954,55
2013,금천구,939,253,660,26
2013,영등포구,2157,577,1497,83
2013,동작구,1233,343,844,46
2013,관악구,1753,537,1151,65
2013,서초구,2055,468,1525,62
2013,강남구,3610,821,2706,83
2013,송파구,2473,563,1808,102
2013,강동구,1356,402,915,39
2012,합계,40828,10892,28537,1399
2012,종로구,1374,399,925,50
2012,중구,1458,376,1046,36
2012,용산구,1202,267,882,53
2012,성동구,986,212,736,38
2012,광진구,1494,378,1081,35
2012,동대문구,1881,500,1316,65
2012,중랑구,1753,467,1220,66
2012,성북구,1572,468,1040,64
2012,강북구,1212,379,784,49
2012,도봉구,983,324,634,25
2012,노원구,1623,420,1164,39
2012,은평구,1519,521,946,52
2012,서대문구,1041,301,702,38
2012,마포구,1561,376,1133,52
2012,양천구,1418,391,980,47
2012,강서구,1767,495,1191,81
2012,구로구,1582,451,1072,59
2012,금천구,1017,272,703,42
2012,영등포구,2179,553,1534,92
2012,동작구,1258,355,857,46
2012,관악구,1713,520,1131,62
2012,서초구,2090,516,1500,74
2012,강남구,3843,876,2867,100
2012,송파구,2844,637,2123,84
2012,강동구,1458,438,970,50
2011,합계,40451,10869,28294,1288
2011,종로구,1421,407,966,48
2011,중구,1497,401,1063,33
2011,용산구,1170,273,854,43
2011,성동구,1154,257,866,31
2011,광진구,1430,354,1035,41
2011,동대문구,1777,474,1242,61
2011,중랑구,1782,484,1235,63
2011,성북구,1569,471,1040,58
2011,강북구,1174,362,784,28
2011,도봉구,933,293,614,26
2011,노원구,1529,436,1061,32
2011,은평구,1509,530,921,58
2011,서대문구,1061,341,679,41
2011,마포구,1623,389,1174,60
2011,양천구,1444,347,1049,48
2011,강서구,1885,553,1262,70
2011,구로구,1542,415,1065,62
2011,금천구,1125,339,744,42
2011,영등포구,2310,593,1628,89
2011,동작구,1192,365,791,36
2011,관악구,1737,503,1170,64
2011,서초구,2048,470,1509,69
2011,강남구,3562,807,2669,86
2011,송파구,2554,580,1907,67
2011,강동구,1423,425,966,32
2010,합계,41662,10783,29579,1300
2010,종로구,1436,377,998,61
2010,중구,1540,357,1149,34
2010,용산구,1245,272,906,67
2010,성동구,1097,231,823,43
2010,광진구,1540,359,1148,33
2010,동대문구,1834,488,1270,76
2010,중랑구,2080,560,1457,63
2010,성북구,1611,504,1070,37
2010,강북구,1293,446,813,34
2010,도봉구,975,289,665,21
2010,노원구,1683,443,1197,43
2010,은평구,1514,487,974,53
2010,서대문구,1141,335,766,40
2010,마포구,1726,401,1270,55
2010,양천구,1463,355,1073,35
2010,강서구,1872,554,1255,63
2010,구로구,1568,412,1108,48
2010,금천구,1123,327,761,35
2010,영등포구,2253,519,1650,84
2010,동작구,1131,303,773,55
2010,관악구,1851,557,1238,56
2010,서초구,2152,447,1630,75
2010,강남구,3551,740,2745,66
2010,송파구,2573,610,1873,90
2010,강동구,1410,410,967,33
