year,region,car_person,car_car,car_alone
2014,whole,11118,28201,1473
2014,종로구,386,859,69
2014,중구,352,912,41
2014,용산구,285,1009,56
2014,성동구,295,851,43
2014,광진구,390,1034,56
2014,동대문구,492,1284,72
2014,중랑구,452,1091,79
2014,성북구,464,1136,64
2014,강북구,423,842,48
2014,도봉구,312,582,25
2014,노원구,412,1062,42
2014,은평구,445,842,38
2014,서대문구,364,705,53
2014,마포구,451,1260,48
2014,양천구,398,1009,59
2014,강서구,505,1229,72
2014,구로구,452,1066,48
2014,금천구,291,700,38
2014,영등포구,539,1579,75
2014,동작구,405,918,76
2014,관악구,515,1125,76
2014,서초구,556,1587,74
2014,강남구,876,2639,109
2014,송파구,606,1917,85
2014,강동구,452,963,27
2013,합계,10683,27358,1398
2013,종로구,364,856,54
2013,중구,403,1000,39
2013,용산구,298,1030,63
2013,성동구,256,809,35
2013,광진구,332,933,38
2013,동대문구,533,1366,71
2013,중랑구,488,1162,66
2013,성북구,448,1025,63
2013,강북구,399,678,30
2013,도봉구,290,619,25
2013,노원구,397,1087,38
2013,은평구,463,762,45
2013,서대문구,323,702,56
2013,마포구,434,1241,72
2013,양천구,379,910,51
2013,강서구,506,1118,91
2013,구로구,406,954,55
2013,금천구,253,660,26
2013,영등포구,577,1497,83
2013,동작구,343,844,46
2013,관악구,537,1151,65
2013,서초구,468,1525,62
2013,강남구,821,2706,83
2013,송파구,563,1808,102
2013,강동구,402,915,39
2012,합계,10892,28537,1399
2012,종로구,399,925,50
2012,중구,376,1046,36
2012,용산구,267,882,53
2012,성동구,212,736,38
2012,광진구,378,1081,35
2012,동대문구,500,1316,65
2012,중랑구,467,1220,66
2012,성북구,468,1040,64
2012,강북구,379,784,49
2012,도봉구,324,634,25
2012,노원구,420,1164,39
2012,은평구,521,946,52
2012,서대문구,301,702,38
2012,마포구,376,1133,52
2012,양천구,391,980,47
2012,강서구,495,1191,81
2012,구로구,451,1072,59
2012,금천구,272,703,42
2012,영등포구,553,1534,92
2012,동작구,355,857,46
2012,관악구,520,1131,62
2012,서초구,516,1500,74
2012,강남구,876,2867,100
2012,송파구,637,2123,84
2012,강동구,438,970,50
2011,합계,10869,28294,1288
2011,종로구,407,966,48
2011,중구,401,1063,33
2011,용산구,273,854,43
2011,성동구,257,866,31
2011,광진구,354,1035,41
2011,동대문구,474,1242,61
2011,중랑구,484,1235,63
2011,성북구,471,1040,58
2011,강북구,362,784,28
2011,도봉구,293,614,26
2011,노원구,436,1061,32
2011,은평구,530,921,58
2011,서대문구,341,679,41
2011,마포구,389,1174,60
2011,양천구,347,1049,48
2011,강서구,553,1262,70
2011,구로구,415,1065,62
2011,금천구,339,744,42
2011,영등포구,593,1628,89
2011,동작구,365,791,36
2011,관악구,503,1170,64
2011,서초구,470,1509,69
2011,강남구,807,2669,86
2011,송파구,580,1907,67
2011,강동구,425,966,32
2010,합계,10783,29579,1300
2010,종로구,377,998,61
2010,중구,357,1149,34
2010,용산구,272,906,67
2010,성동구,231,823,43
2010,광진구,359,1148,33
2010,동대문구,488,1270,76
2010,중랑구,560,1457,63
2010,성북구,504,1070,37
2010,강북구,446,813,34
2010,도봉구,289,665,21
2010,노원구,443,1197,43
2010,은평구,487,974,53
2010,서대문구,335,766,40
2010,마포구,401,1270,55
2010,양천구,355,1073,35
2010,강서구,554,1255,63
2010,구로구,412,1108,48
2010,금천구,327,761,35
2010,영등포구,519,1650,84
2010,동작구,303,773,55
2010,관악구,557,1238,56
2010,서초구,447,1630,75
2010,강남구,740,2745,66
2010,송파구,610,1873,90
2010,강동구,410,967,33
