Node1	Node2	CommonGeneNum	CommonGenes
osa01110	osa01212	21	Os01g0150000,Os11g0605500,Os06g0354500,Os05g0460800,Os01g0110400,Os05g0163700,Os06g0347100,Os04g0483500,Os06g0103500,Os09g0252100,Os04g0271200,Os02g0274100,Os02g0817700,Os10g0457600,Os01g0348600,Os07g0675000,Os01g0159400,Os06g0346300,Os01g0150200,Os01g0150500,Os01g0150800
osa01110	osa00270	62	Os08g0342400,Os03g0215800,Os02g0797500,Os08g0434300,Os03g0133900,Os03g0760700,Os03g0747800,Os12g0625000,Os06g0104900,Os02g0105400,Os05g0533500,Os04g0165700,Os02g0771600,Os12g0623900,Os05g0574400,Os11g0644800,Os04g0578000,Os05g0135700,Os04g0551200,Os12g0632700,Os01g0772900,Os12g0624000,Os03g0850400,Os01g0760600,Os06g0564500,Os02g0302700,Os03g0376100,Os06g0564700,Os01g0192900,Os01g0829800,Os02g0236000,Os01g0720700,Os01g0293000,Os10g0399200,Os10g0399700,Os09g0451000,Os03g0196600,Os03g0221200,Os05g0149400,Os06g0345200,Os09g0294000,Os06g0175800,Os07g0630800,Os03g0185000,Os01g0927900,Os01g0978100,Os01g0580500,Os10g0422200,Os09g0451400,Os03g0773800,Os12g0607000,Os10g0478200,Os11g0186900,Os06g0548000,Os06g0149900,Os06g0149700,Os03g0727600,Os01g0814800,Os01g0649100,Os11g0552000,Os07g0300900,Os02g0302400
osa00905	osa01100	6	Os04g0469800,Os01g0851600,Os03g0602300,Os01g0197100,Os03g0227700,Os11g0184100
osa00360	osa00270	9	Os02g0236000,Os11g0644800,Os02g0302700,Os06g0548000,Os06g0345200,Os02g0797500,Os11g0552000,Os01g0760600,Os02g0302400
osa00360	osa01110	96	Os11g0112200,Os11g0112400,Os10g0109600,Os10g0109300,Os08g0302000,Os04g0656800,Os08g0143300,Os03g0762300,Os03g0762400,Os02g0626100,Os02g0626600,Os02g0626400,Os12g0530100,Os03g0121300,Os10g0536700,Os04g0518100,Os01g0760600,Os04g0518400,Os03g0121200,Os08g0245200,Os08g0532700,Os01g0543100,Os02g0240100,Os01g0327400,Os06g0681600,Os10g0566800,Os05g0499300,Os02g0302400,Os04g0476100,Os06g0338200,Os04g0688100,Os07g0115300,Os11g0644800,Os02g0177600,Os02g0302700,Os02g0741200,Os07g0531400,Os11g0661600,Os02g0833900,Os09g0481400,Os02g0627100,Os07g0677300,Os11g0552000,Os05g0320700,Os07g0676900,Os07g0677100,Os06g0165800,Os02g0797500,Os06g0695500,Os03g0152300,Os04g0269600,Os04g0628200,Os07g0694300,Os04g0498700,Os02g0467000,Os05g0427400,Os02g0467600,Os06g0656500,Os02g0697400,Os06g0548000,Os08g0113000,Os04g0423800,Os05g0162000,Os04g0651000,Os09g0507500,Os01g0963200,Os01g0963000,Os01g0962700,Os12g0112000,Os08g0448000,Os06g0237600,Os09g0471100,Os04g0310700,Os06g0547100,Os06g0547400,Os05g0135500,Os06g0274800,Os12g0191500,Os05g0231900,Os01g0263000,Os01g0263300,Os06g0490400,Os03g0152400,Os03g0234900,Os03g0235000,Os02g0236000,Os07g0499500,Os09g0323700,Os06g0345200,Os07g0638400,Os07g0638300,Os03g0369200,Os03g0368900,Os02g0709200,Os01g0871300,Os06g0546500
osa01110	osa00040	8	Os09g0505700,Os02g0646500,Os02g0647900,Os02g0730000,Os11g0186200,Os04g0540600,Os06g0270900,Os03g0169100
osa00500	osa00940	23	Os01g0930800,Os05g0366600,Os08g0509400,Os10g0323500,Os08g0509200,Os09g0491100,Os09g0511900,Os09g0511600,Os02g0131400,Os01g0771900,Os04g0474900,Os04g0474800,Os04g0513100,Os05g0365600,Os06g0683300,Os05g0366000,Os01g0508000,Os03g0749500,Os03g0749300,Os03g0749100,Os11g0184200,Os03g0703000,Os03g0212800
osa01100	osa00941	15	Os06g0626700,Os02g0467000,Os10g0317900,Os01g0372500,Os04g0500700,Os10g0320100,Os03g0819600,Os02g0467600,Os09g0481400,Os02g0611800,Os05g0494000,Os11g0530600,Os05g0320700,Os02g0767300,Os06g0165800
osa01100	osa00073	2	Os04g0560100,Os02g0666500
osa01110	osa00908	5	Os09g0403300,Os03g0810100,Os03g0356900,Os06g0729800,Os05g0551700
osa01110	osa01040	16	Os01g0150000,Os11g0605500,Os06g0354500,Os05g0460800,Os05g0163700,Os06g0347100,Os04g0483500,Os06g0103500,Os02g0817700,Os01g0150200,Os10g0457600,Os01g0159400,Os06g0346300,Os04g0271200,Os01g0150500,Os01g0150800
osa01110	osa00904	22	Os03g0856700,Os06g0110000,Os02g0278700,Os04g0178300,Os04g0178400,Os04g0179200,Os04g0179700,Os04g0611800,Os05g0178100,Os06g0570100,Os06g0569900,Os11g0474800,Os02g0571100,Os12g0491800,Os04g0611700,Os06g0599200,Os02g0571800,Os02g0571300,Os02g0569900,Os02g0569400,Os02g0570500,Os02g0570400
osa00910	osa01110	2	Os05g0555600,Os01g0681900
osa00010	osa00040	6	Os02g0646500,Os02g0647900,Os02g0730000,Os11g0186200,Os04g0540600,Os06g0270900
osa00905	osa01110	8	Os04g0469800,Os01g0851600,Os03g0602300,Os11g0143200,Os01g0197100,Os03g0227700,Os11g0184100,Os12g0139300
