Node	Color	Size
osa00360	#B2FFB2	1470
osa00910	#4CFF4C	750
osa04075	#B2B2FF	2760
osa00592	#FFFFFF	750
osa02010	#FFFFFF	750
osa01502	#FFFFFF	750
osa01110	#B2FFB2	4500
osa00920	#FFFFFF	750
osa00480	#FFFFFF	1200
osa00950	#FFFFFF	750
osa00604	#FFFFFF	750
osa00603	#FFFFFF	750
osa04626	#B2B2FF	1740
osa00944	#4CFF4C	750
osa00500	#B2FFB2	2325
osa00010	#4CFF4C	1815
osa01040	#B2FFB2	750
osa01212	#4CFF4C	1080
osa00780	#FFFFFF	750
osa03410	#FFFFFF	750
osa01100	#B2FFB2	4500
osa00196	#B2FFB2	750
osa00908	#B2FFB2	750
osa00940	#B2FFB2	1905
osa00941	#FFFFFF	750
osa00860	#FFFFFF	750
osa00903	#B2FFB2	750
osa00904	#B2FFB2	750
osa00905	#B2FFB2	750
osa00591	#4CFF4C	750
osa00040	#FFFFFF	750
osa00270	#4CFF4C	1275
osa00073	#B2FFB2	750
osa00061	#4CFF4C	750
