source,target,value
Gov.Chris Christie,Cory Booker,3
Gov.Chris Christie,Mark Zuckerberg,3
Gov.Chris Christie,Jimmy Fallon,3
Jimmy Fallon,Justin TimberLake,1
Mark Zuckerberg,Sheryl Sandberg,3
Mark Zuckerberg,Bill Gates,3
Mark Zuckerberg,Reed Hastings,3
Sheryl Sandberg,Katie Couric,2
Sheryl Sandberg,Stephen ColBert,2
Katie Couric,Julia Louis-Dreyfus,1
Julia Louis-Dreyfus,Joe Biden,1
Bill Gates,Ryan Seacrest,1
Ryan Seacrest,David Beckham,2
Ryan Seacrest,Selena Gomez,2
Gisele,Shakira,3
Gisele,Anna Wintour,3
Gisele,Mario Testino,3
Mario Testino,Donatella Versace,3
Mario Testino,Kate Moss,3
Mario Testino,David Beckham,3
Anna Wintour,Dominic West,2
Anna Wintour,Roger Federer,2
Shakira,Pope Francis,2
Shakira,Chris Martin,2
Selena Gomez,James Franco,3
Selena Gomez,Suki Waterhouse,3
Selena Gomez,Cara Delevingne,3
Suki Waterhouse,Lily Collins,1
James Franco,Zach Braff,3
James Franco,Joey King,3
James Franco,Keegan Allen,3
Keegan Allen,Brett Dier,3
Keegan Allen,Gia Coppola,3
Keegan Allen,Nat Wolff,3
Hoda Kotb,Blake Shelton,1
Blake Shelton,Nick Lachey,5
Blake Shelton,Joey Fatone,5
Blake Shelton,Kevin Richardson,5
Blake Shelton,Pharrell,5
Blake Shelton,Gwen Stefani,5
Kevin Richardson,Shania Twain,1
Shania Twain,Pink,3
Shania Twain,John Travolta,3
Shania Twain,Lionel Richie,3
Gwen Stefani,Gavin Rossdale,3
Gwen Stefani,Jessica Alba,3
Gwen Stefani,Nicole Richie,3
Jessica Alba,Jaime King,2
Jessica Alba,Kelly Sawyer,2
Kyle Newman,Hailee Steinfeld,2
Kyle Newman,Jamie King,2
Hailee Steinfeld,Austin Mahone,2
Hailee Steinfeld,Rebel Wilson,2
Chole Grace Moretz,Jamie Blackley,3
Chole Grace Moretz,Ingrid Michaelson,3
Chole Grace Moretz,Ed Sheeran,3
Ingrid Michaelson,Taylor Swift,3
Ingrid Michaelson,Will Chase,3
Ingrid Michaelson,Lennon & Maisy,3
Lily Aldridge,Behati Prinsloo,2
Lily Aldridge,Taylor Swift,2
Taylor Swift,Selena Gomez,3
Taylor Swift,Ed Sheeran,3
Taylor Swift,Emma Stone,3
Ed Sheeran,The Game,1
Emma Stone,Maggie Smith,3
Emma Stone,Bil Murray,3
Emma Stone,Andrew Garfiled,3
Andrew Garfiled,Jamie Dornan,1
Jamie Dornan,Eddie Redmayne,1
Jaime King,Lena Dunham,2
Jaime King,Topher Grace,2
Topher Grace,Wilmer Valderrama,3
Topher Grace,Ashton Kutcher,3
Topher Grace,Danny Masterson,3
Wilmer Valderrama,Dax Shepard,3
Wilmer Valderrama,Robert Rodriguez,3
Wilmer Valderrama,Jon Cryer,3
Dax Shepard,Scott Pelley,1
Jon Cryer,Bryan Cranston,2
Jon Cryer,Andy Richter,2
Lena Dunham,Allson Williams,3
Lena Dunham,Andrew Rannells,3
Lena Dunham,Zosia Mamet,3
Allson Williams,Bee Schaffer,2
Allson Williams,Katy Perry,2
Katy Perry,Madonna,1
Zosia Mamet,Jessica Biel,1
Jessica Biel,Betty White,1
Reba McEntire,Faith Hill,1
Faith Hill,Adam Sandler,3
Faith Hill,Nicole Kidman,3
Faith Hill,Rita Wilson,3
Adam Sandler,Betty White,3
Adam Sandler,Shaquille O'neal,3
Adam Sandler,Macaulay Culkin,3
