보수주인,참봉이,정도전,업둥이,,,
정도전,업둥이,,,,,
정도전,이지란,이성계,,,,
이성계,이지란,,,,,
정도전,보수주인,,,,,
최영,경복흥,,,,,
이인임,최영,경복흥,명덕태후,대비안씨,우왕,근비
명덕태후,이인임,,,,,
명덕태후,우왕,,,,,
이인임,임견미,,,,,
이색,정몽주,이숭인,권근,,,
하륜,최씨,,,,,
하륜,이인임,,,,,
최영,우왕,정몽주,이인임,임견미,염흥방,
염흥방,정몽주,권근,이숭인,,,
이인임,최영,임견미,염흥방,,,
우왕,이인임,,,,,
이성계,이지란,,,,,
이성계,강씨,,,,,
최영,이성계,이인임,,,,
이인임,임견미,염흥방,최영,,,
최영,이인임,,,,,
우왕,이성계,이인임,최영,,,
강씨,이성계,,,,,
이인임,염흥방,임견미,,,,
정몽주,이인임,,,,,
정몽주,최씨,,,,,
이성계,변안열,아즈발도,,,,
배극렴,이성계,이지란,변안열,,,
배극렴,이성계,,,,,
배극렴,이성계,이지란,,,,
변안열,정도전,,,,,
