source,group1,target,group2,weight,type
ABRAHAM,3,GREGORY,2,1,undirected
ABRAHAM,3,SAMPSON,2,9,undirected
BALTHASAR,3,FRIAR LAURENCE,4,12,undirected
BALTHASAR,3,PRINCE,1,2,undirected
BALTHASAR,3,ROMEO,3,10,undirected
BENVOLIO,3,CAPULET,2,3,undirected
BENVOLIO,3,FRIAR LAURENCE,4,1,undirected
BENVOLIO,3,LADY CAPULET,2,2,undirected
BENVOLIO,3,LADY MONTAGUE,3,2,undirected
BENVOLIO,3,MERCUTIO,1,44,undirected
BENVOLIO,3,MONTAGUE,3,9,undirected
BENVOLIO,3,PETER,2,1,undirected
BENVOLIO,3,PRINCE,1,3,undirected
BENVOLIO,3,ROMEO,3,57,undirected
BENVOLIO,3,SAMPSON,2,1,undirected
BENVOLIO,3,TYBALT,2,3,undirected
CAPULET,2,FRIAR LAURENCE,4,5,undirected
CAPULET,2,JULIET,2,13,undirected
CAPULET,2,LADY CAPULET,2,2,undirected
CAPULET,2,LADY CAPULET,2,21,undirected
CAPULET,2,MONTAGUE,3,3,undirected
CAPULET,2,PARIS,1,11,undirected
CAPULET,2,PRINCE,1,4,undirected
CAPULET,2,ROMEO,3,3,undirected
CAPULET,2,TYBALT,2,11,undirected
FRIAR JOHN,4,FRIAR LAURENCE,4,7,undirected
FRIAR JOHN,4,ROMEO,3,1,undirected
FRIAR LAURENCE,4,JULIET,2,20,undirected
FRIAR LAURENCE,4,MERCUTIO,1,1,undirected
FRIAR LAURENCE,4,PARIS,1,8,undirected
FRIAR LAURENCE,4,PETER,2,1,undirected
FRIAR LAURENCE,4,PRINCE,1,4,undirected
FRIAR LAURENCE,4,ROMEO,3,47,undirected
GREGORY,2,SAMPSON,2,29,undirected
JULIET,2,LADY CAPULET,2,40,undirected
JULIET,2,PAGE,1,1,undirected
JULIET,2,PARIS,1,15,undirected
JULIET,2,PETER,2,1,undirected
JULIET,2,PRINCE,1,1,undirected
JULIET,2,ROMEO,3,77,undirected
LADY CAPULET,2,PARIS,1,3,undirected
LADY CAPULET,2,PRINCE,1,4,undirected
LADY CAPULET,2,ROMEO,3,2,undirected
LADY MONTAGUE,3,MONTAGUE,3,1,undirected
LADY MONTAGUE,3,PRINCE,1,1,undirected
MERCUTIO,1,PETER,2,1,undirected
MERCUTIO,1,ROMEO,3,62,undirected
MERCUTIO,1,TYBALT,2,12,undirected
MONTAGUE,3,PRINCE,1,7,undirected
NURSE,2,ROMEO,3,2,undirected
PAGE,1,PARIS,1,3,undirected
PAGE,1,PRINCE,1,3,undirected
PAGE,1,ROMEO,3,1,undirected
PARIS,1,ROMEO,3,6,undirected
PETER,2,ROMEO,3,4,undirected
ROMEO,3,TYBALT,2,7,undirected
