season	match	value	venue	opponent	score	result
1	1	0	HOME	Sunderland	0 - 0	D
1	2	1	AWAY	Stoke	0 - 0	D
1	3	3	AWAY	Liverpool	0 - 2	W
1	4	2	HOME	S'hampton	6 - 1	W
1	5	1	AWAY	Man City	1 - 1	D
1	6	-2	HOME	Chelsea	1 - 2	L
1	7	3	AWAY	West Ham	1 - 3	W
1	8	-1	AWAY	Norwich	1 - 0	L
1	9	2	HOME	QPR	1 - 0	W
1	10	-1	AWAY	Man Utd	2 - 1	L
1	11	0	HOME	Fulham	3 - 3	D
1	12	2	HOME	Spurs	5 - 2	W
1	13	1	AWAY	A. Villa	0 - 0	D
1	14	1	AWAY	Everton	1 - 1	D
1	15	-2	HOME	Swansea	0 - 2	L
1	16	2	HOME	WBA	2 - 0	W
1	17	3	AWAY	Reading	2 - 5	W
1	18	3	AWAY	Wigan	0 - 1	W
1	19	2	HOME	Newcastle	7 - 3	W
1	20	1	AWAY	S'hampton	1 - 1	D
1	21	-2	HOME	Man City	0 - 2	L
1	22	-1	AWAY	Chelsea	2 - 1	L
1	23	2	HOME	West Ham	5 - 1	W
1	24	0	HOME	Liverpool	2 - 2	D
1	25	2	HOME	Stoke	1 - 0	W
1	26	3	AWAY	Sunderland	0 - 1	W
1	27	2	HOME	A. Villa	2 - 1	W
1	28	-1	AWAY	Spurs	2 - 1	L
1	29	3	AWAY	Swansea	0 - 1	W
1	30	2	HOME	Reading	4 - 1	W
1	31	3	AWAY	WBA	1 - 2	W
1	32	2	HOME	Norwich	3 - 1	W
1	33	0	HOME	Everton	0 - 0	D
1	34	3	AWAY	Fulham	0 - 1	W
1	35	0	HOME	Man Utd	1 - 1	D
1	36	3	AWAY	QPR	0 - 1	W
1	37	2	HOME	Wigan	4 - 1	W
1	38	3	AWAY	Newcastle	0 - 1	W
2	1	-2	HOME	A. Villa	1 - 3	L
2	2	3	AWAY	Fulham	1 - 3	W
2	3	2	HOME	Spurs	1 - 0	W
2	4	3	AWAY	Sunderland	1 - 3	W
2	5	2	HOME	Stoke	3 - 1	W
2	6	3	AWAY	Swansea	1 - 2	W
2	7	1	AWAY	WBA	1 - 1	D
2	8	2	HOME	Norwich	4 - 1	W
2	9	3	AWAY	C. Palace	0 - 2	W
2	10	2	HOME	Liverpool	2 - 0	W
2	11	-1	AWAY	Man Utd	1 - 0	L
2	12	2	HOME	S'hampton	2 - 0	W
2	13	3	AWAY	Cardiff	0 - 3	W
2	14	2	HOME	Hull City	2 - 0	W
2	15	0	HOME	Everton	1 - 1	D
2	16	-1	AWAY	Man City	6 - 3	L
2	17	0	HOME	Chelsea	0 - 0	D
2	18	3	AWAY	West Ham	1 - 3	W
2	19	3	AWAY	Newcastle	0 - 1	W
2	20	2	HOME	Cardiff	2 - 0	W
2	21	3	AWAY	A. Villa	1 - 2	W
2	22	2	HOME	Fulham	2 - 0	W
