day	hour	value
1	1	10205
1	2	10202
1	3	10200
1	4	10202
1	5	10202
1	6	10200
1	7	10203
1	8	10208
1	9	10213
1	10	10217
1	11	10221
1	12	10220
1	13	10211
1	14	10200
1	15	10193
1	16	10190
1	17	10192
1	18	10196
1	19	10201
1	20	10206
1	21	10209
1	22	10211
1	23	10210
1	24	10209
2	1	10206
2	2	10202
2	3	10201
2	4	10202
2	5	10202
2	6	10200
2	7	10204
2	8	10208
2	9	10213
2	10	10217
2	11	10220
2	12	10219
2	13	10211
2	14	10200
2	15	10193
2	16	10190
2	17	10192
2	18	10196
2	19	10201
2	20	10206
2	21	10209
2	22	10210
2	23	10209
2	24	10209
3	1	10205
3	2	10202
3	3	10200
3	4	10201
3	5	10202
3	6	10200
3	7	10203
3	8	10208
3	9	10212
3	10	10216
3	11	10220
3	12	10219
3	13	10210
3	14	10199
3	15	10192
3	16	10190
3	17	10192
3	18	10196
3	19	10200
3	20	10205
3	21	10208
3	22	10209
3	23	10209
3	24	10208
4	1	10204
4	2	10201
4	3	10199
4	4	10200
4	5	10201
4	6	10199
4	7	10202
4	8	10206
4	9	10211
4	10	10215
4	11	10219
4	12	10218
4	13	10210
4	14	10198
4	15	10192
4	16	10189
4	17	10191
4	18	10195
4	19	10199
4	20	10204
4	21	10207
4	22	10209
4	23	10208
4	24	10207
5	1	10204
5	2	10200
5	3	10199
5	4	10200
5	5	10200
5	6	10199
5	7	10202
5	8	10206
5	9	10211
5	10	10215
5	11	10219
5	12	10218
5	13	10210
5	14	10199
5	15	10192
5	16	10189
5	17	10192
5	18	10196
5	19	10200
5	20	10205
5	21	10208
5	22	10209
5	23	10209
5	24	10208
6	1	10204
6	2	10201
6	3	10199
6	4	10200
6	5	10201
6	6	10199
6	7	10202
6	8	10206
6	9	10211
6	10	10216
6	11	10219
6	12	10219
6	13	10210
6	14	10199
6	15	10192
6	16	10189
6	17	10191
6	18	10195
6	19	10200
6	20	10205
6	21	10207
6	22	10209
6	23	10208
6	24	10207
7	1	10203
7	2	10200
7	3	10198
7	4	10199
7	5	10199
7	6	10198
7	7	10201
7	8	10205
7	9	10210
7	10	10214
7	11	10217
7	12	10216
7	13	10208
7	14	10197
7	15	10190
7	16	10187
7	17	10189
7	18	10193
7	19	10198
7	20	10203
7	21	10205
7	22	10207
7	23	10206
7	24	10205
1	1	10202
1	2	10198
1	3	10196
1	4	10197
1	5	10198
1	6	10196
1	7	10199
1	8	10203
1	9	10209
1	10	10213
1	11	10216
1	12	10216
1	13	10208
1	14	10196
1	15	10189
1	16	10187
1	17	10188
1	18	10193
1	19	10197
1	20	10202
1	21	10205
1	22	10206
1	23	10206
1	24	10205
2	1	10201
2	2	10198
2	3	10196
2	4	10197
2	5	10197
2	6	10196
2	7	10199
2	8	10203
2	9	10209
2	10	10212
2	11	10216
2	12	10216
2	13	10208
2	14	10196
2	15	10189
2	16	10186
2	17	10188
2	18	10192
2	19	10197
2	20	10202
2	21	10204
2	22	10206
2	23	10205
2	24	10205
3	1	10201
3	2	10198
3	3	10196
3	4	10196
3	5	10197
3	6	10195
3	7	10198
3	8	10202
3	9	10208
3	10	10211
3	11	10215
3	12	10215
3	13	10207
3	14	10195
3	15	10188
3	16	10185
3	17	10187
3	18	10191
3	19	10195
3	20	10201
3	21	10203
3	22	10204
3	23	10204
3	24	10204
4	1	10200
4	2	10197
4	3	10195
4	4	10195
4	5	10195
4	6	10194
4	7	10197
4	8	10201
4	9	10207
4	10	10211
4	11	10214
4	12	10214
4	13	10206
4	14	10194
4	15	10187
4	16	10184
4	17	10186
4	18	10190
4	19	10195
4	20	10200
4	21	10203
4	22	10204
4	23	10203
4	24	10203
5	1	10199
5	2	10196
5	3	10194
5	4	10194
5	5	10194
5	6	10193
5	7	10196
5	8	10200
5	9	10206
5	10	10209
5	11	10213
5	12	10212
5	13	10205
5	14	10193
5	15	10186
5	16	10182
5	17	10184
5	18	10189
5	19	10193
5	20	10198
5	21	10201
5	22	10202
5	23	10202
5	24	10201
6	1	10198
6	2	10194
6	3	10192
6	4	10193
6	5	10192
6	6	10191
6	7	10194
6	8	10199
6	9	10204
6	10	10208
6	11	10211
6	12	10211
6	13	10203
6	14	10192
6	15	10185
6	16	10182
6	17	10184
6	18	10188
6	19	10192
6	20	10197
6	21	10200
6	22	10201
6	23	10201
6	24	10201
7	1	10198
7	2	10194
7	3	10193
7	4	10193
7	5	10193
7	6	10192
7	7	10195
7	8	10199
7	9	10205
7	10	10208
7	11	10212
7	12	10212
7	13	10205
