day	hour	value
1	1	349
1	2	344
1	3	339
1	4	334
1	5	331
1	6	327
1	7	325
1	8	323
1	9	321
1	10	338
1	11	364
1	12	394
1	13	421
1	14	442
1	15	456
1	16	462
1	17	458
1	18	441
1	19	412
1	20	396
1	21	382
1	22	372
1	23	363
1	24	355
2	1	349
2	2	344
2	3	339
2	4	335
2	5	331
2	6	327
2	7	325
2	8	323
2	9	321
2	10	338
2	11	366
2	12	396
2	13	424
2	14	445
2	15	460
2	16	465
2	17	461
2	18	444
2	19	415
2	20	398
2	21	385
2	22	374
2	23	365
2	24	358
3	1	351
3	2	346
3	3	341
3	4	337
3	5	333
3	6	329
3	7	327
3	8	325
3	9	323
3	10	340
3	11	367
3	12	397
3	13	425
3	14	445
3	15	459
3	16	465
3	17	460
3	18	443
3	19	415
3	20	398
3	21	385
3	22	374
3	23	365
3	24	357
4	1	350
4	2	345
4	3	340
4	4	336
4	5	331
4	6	328
4	7	325
4	8	324
4	9	322
4	10	338
4	11	366
4	12	396
4	13	423
4	14	443
4	15	456
4	16	462
4	17	457
4	18	441
4	19	413
4	20	395
4	21	383
4	22	372
4	23	364
4	24	356
5	1	348
5	2	342
5	3	337
5	4	332
5	5	328
5	6	324
5	7	322
5	8	320
5	9	318
5	10	335
5	11	363
5	12	393
5	13	421
5	14	441
5	15	455
5	16	460
5	17	456
5	18	439
5	19	411
5	20	394
5	21	382
5	22	371
5	23	363
5	24	355
6	1	348
6	2	342
6	3	337
6	4	332
6	5	328
6	6	325
6	7	322
6	8	321
6	9	318
6	10	335
6	11	363
6	12	393
6	13	420
6	14	440
6	15	453
6	16	459
6	17	455
6	18	438
6	19	411
6	20	394
6	21	381
6	22	371
6	23	362
6	24	354
7	1	347
7	2	341
7	3	336
7	4	332
7	5	328
7	6	325
7	7	322
7	8	320
7	9	318
7	10	334
7	11	362
7	12	392
7	13	419
7	14	440
7	15	453
7	16	459
7	17	454
7	18	438
7	19	410
7	20	393
7	21	380
7	22	370
7	23	361
7	24	353
1	1	346
1	2	340
1	3	334
1	4	330
1	5	326
1	6	322
1	7	320
1	8	317
1	9	315
1	10	331
1	11	359
1	12	390
1	13	416
1	14	437
1	15	451
1	16	457
1	17	452
1	18	436
1	19	408
1	20	390
1	21	377
1	22	367
1	23	357
1	24	349
2	1	343
2	2	336
2	3	331
2	4	326
2	5	322
2	6	319
2	7	316
2	8	313
2	9	311
2	10	328
2	11	356
2	12	386
2	13	413
2	14	434
2	15	448
2	16	454
2	17	450
2	18	433
2	19	405
2	20	387
