Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20140201,3812,39,108,93,119,185,181,240,297,262,322,293,283,320,295,183,154,179,160,96,3
7,Naebang,20140202,4943,48,128,130,219,249,260,257,336,396,432,370,391,385,320,261,240,273,174,74,0
7,Naebang,20140203,16356,79,295,793,1161,752,549,586,525,704,683,800,888,1152,2927,1639,867,969,710,230,47
7,Naebang,20140204,16426,90,293,846,1316,794,532,548,518,685,628,728,786,1081,2832,1631,928,1091,727,315,57
7,Naebang,20140205,16918,81,308,854,1274,793,551,556,661,663,654,793,821,1216,2932,1669,933,1027,788,300,44
7,Naebang,20140206,17143,98,308,837,1309,838,553,548,593,680,758,852,915,1215,2941,1540,990,1059,741,309,59
7,Naebang,20140207,17522,97,300,847,1307,816,612,539,678,729,780,898,932,1348,3020,1629,884,960,802,289,55
7,Naebang,20140208,9915,75,183,203,483,582,504,630,761,754,736,734,787,813,701,482,477,480,375,155,0
7,Naebang,20140209,6391,68,158,148,298,391,410,354,428,472,495,479,461,415,466,353,290,335,248,122,0
7,Naebang,20140210,17299,91,344,890,1303,814,606,645,569,783,639,828,872,1184,2964,1634,979,1088,745,265,56
7,Naebang,20140211,17507,98,320,835,1295,822,619,625,651,739,770,816,915,1277,2939,1592,961,1093,769,316,55
7,Naebang,20140212,17112,88,290,814,1285,844,605,606,652,725,700,776,945,1216,2937,1452,915,1053,820,330,59
7,Naebang,20140213,17191,86,290,823,1263,821,623,614,593,736,670,879,854,1217,2905,1577,1004,1113,746,313,64
7,Naebang,20140214,17468,87,274,783,1218,877,607,650,638,721,784,864,985,1251,3079,1610,918,873,843,339,67
7,Naebang,20140215,9793,80,186,243,470,600,588,577,762,732,696,701,774,794,640,501,412,483,401,152,1
7,Naebang,20140216,6306,62,157,144,308,400,397,382,444,449,459,479,457,441,424,292,304,330,267,110,0
7,Naebang,20140217,17289,83,331,831,1234,863,637,555,585,744,719,831,845,1324,2880,1639,967,1100,748,306,67
7,Naebang,20140218,17488,83,314,797,1311,866,604,613,636,760,705,821,898,1249,2957,1646,982,1088,772,327,59
7,Naebang,20140219,17306,94,309,781,1309,839,595,615,733,760,696,778,847,1257,2975,1525,1011,1071,735,316,60
7,Naebang,20140220,17114,90,313,772,1248,857,585,597,614,721,757,825,896,1200,2905,1567,1003,1033,749,311,71
7,Naebang,20140221,17437,90,298,749,1239,848,616,617,617,737,789,840,978,1302,3012,1662,912,963,750,337,81
7,Naebang,20140222,9877,76,219,246,487,582,561,607,673,745,669,667,798,827,723,514,418,478,386,200,1
7,Naebang,20140223,6292,76,142,129,265,399,342,327,470,520,460,440,492,480,399,351,257,377,269,97,0
7,Naebang,20140224,17220,95,324,817,1227,836,656,645,623,662,731,824,916,1204,2910,1641,1003,991,754,306,55
7,Naebang,20140225,17292,105,299,809,1277,870,653,626,613,674,718,761,881,1295,2837,1648,1073,1058,754,287,54
7,Naebang,20140226,17399,91,326,801,1293,800,625,629,715,814,740,787,851,1215,2840,1633,996,1103,758,320,62
7,Naebang,20140227,17283,100,296,826,1258,853,634,625,757,715,729,819,910,1214,2718,1584,965,1074,814,320,72
7,Naebang,20140228,17186,80,297,766,1257,860,636,634,603,731,819,806,965,1244,2750,1634,960,943,781,347,73
