Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20140101,4494,76,177,101,192,231,200,273,276,335,311,339,314,303,359,235,202,278,217,74,1
7,Naebang,20140102,16706,79,308,769,1219,802,574,574,570,700,725,728,827,1215,2987,1563,928,985,767,327,59
7,Naebang,20140103,17174,79,285,782,1252,863,611,588,597,817,830,829,937,1299,3008,1548,909,891,709,293,47
7,Naebang,20140104,9586,86,186,211,429,559,534,647,693,726,660,695,776,826,743,470,347,488,362,148, - 
7,Naebang,20140105,6216,57,154,125,240,373,387,336,423,452,458,437,547,429,431,341,296,346,281,103, - 
7,Naebang,20140106,17608,101,319,828,1302,815,553,604,644,807,838,876,902,1288,2967,1685,958,1038,723,297,63
7,Naebang,20140107,17727,76,318,789,1370,857,659,662,653,692,789,797,935,1281,3134,1548,933,1011,867,296,60
7,Naebang,20140108,17230,88,314,776,1316,852,608,559,684,687,709,785,884,1253,2927,1533,1024,1067,797,311,56
7,Naebang,20140109,16636,64,287,750,1309,833,526,524,566,636,638,794,858,1159,2914,1581,966,1013,875,298,45
7,Naebang,20140110,17043,70,294,744,1290,810,533,568,583,696,783,795,972,1288,3136,1570,900,925,695,335,56
7,Naebang,20140111,9573,88,187,241,424,524,492,654,688,750,649,629,835,852,674,450,416,507,345,168, - 
7,Naebang,20140112,6107,59,144,133,265,343,376,353,410,458,481,436,491,414,438,294,262,366,259,125, - 
7,Naebang,20140113,17050,88,306,790,1266,807,561,610,604,697,724,762,826,1339,2972,1624,981,987,769,287,50
7,Naebang,20140114,17169,92,304,744,1286,813,569,593,592,712,695,800,892,1309,2967,1544,975,1074,787,341,80
7,Naebang,20140115,17396,86,295,738,1309,926,568,611,657,783,736,807,843,1378,2944,1507,972,1081,820,278,57
7,Naebang,20140116,17582,76,283,782,1299,896,596,599,620,745,740,802,941,1397,2916,1527,985,1119,863,331,65
7,Naebang,20140117,17645,83,287,758,1323,876,603,628,612,711,862,769,977,1388,3089,1600,859,997,806,356,61
7,Naebang,20140118,10044,73,192,236,459,596,540,668,717,797,685,701,793,913,687,517,425,463,416,164,2
7,Naebang,20140119,6196,58,151,126,278,351,356,383,445,479,458,434,487,438,447,318,264,342,266,114,1
7,Naebang,20140120,18676,95,347,932,1380,933,641,671,628,772,786,909,1008,1316,3168,1776,1065,1100,777,306,66
7,Naebang,20140121,17555,77,310,846,1343,885,611,636,607,766,697,881,878,1291,3007,1546,917,1053,839,301,64
7,Naebang,20140122,17446,84,283,778,1328,887,592,608,647,699,780,761,911,1352,2914,1544,983,1134,800,312,49
7,Naebang,20140123,17526,90,293,763,1298,908,572,635,693,758,751,806,883,1279,2897,1604,960,1140,799,346,51
