Date	Day	Sex	Old	Region	Chick	value
20150901	2	Female	over60		1	치킨	16
20150901	2	Female	10		1	치킨	20
20150901	2	Male	50		1	치킨	31
20150901	2	Female	20		1	치킨	100
20150901	2	Male	over60		1	치킨	13
20150901	2	Male	20		1	치킨	101
20150901	2	Male	10		1	치킨	27
20150901	2	Female	40		1	치킨	128
20150901	2	Male	40		1	치킨	76
20150901	2	Female	30		1	치킨	145
20150901	2	Male	30		1	치킨	191
20150901	2	Female	50		1	치킨	48
20150901	2	Male	10		2	치킨	20
20150901	2	Male	over60		2	치킨	5
20150901	2	Male	20		2	치킨	45
20150901	2	Female	50		2	치킨	26
20150901	2	Female	10		2	치킨	16
20150901	2	Male	50		2	치킨	25
20150901	2	Female	over60		2	치킨	11
20150901	2	Male	30		2	치킨	78
20150901	2	Female	30		2	치킨	79
20150901	2	Male	40		2	치킨	46
20150901	2	Female	40		2	치킨	85
20150901	2	Female	20		2	치킨	49
20150901	2	Female	10		3	치킨	9
20150901	2	Female	over60		3	치킨	11
20150901	2	Female	20		3	치킨	53
20150901	2	Male	50		3	치킨	19
20150901	2	Male	10		3	치킨	27
20150901	2	Female	50		3	치킨	25
20150901	2	Male	over60		3	치킨	5
20150901	2	Female	30		3	치킨	45
20150901	2	Male	30		3	치킨	71
20150901	2	Female	40		3	치킨	86
20150901	2	Male	40		3	치킨	39
20150901	2	Male	20		3	치킨	61
20150901	2	Female	over60		4	치킨	17
20150901	2	Female	10		4	치킨	24
20150901	2	Male	40		4	치킨	76
20150901	2	Male	30		4	치킨	136
20150901	2	Male	over60		4	치킨	13
20150901	2	Female	30		4	치킨	141
20150901	2	Male	10		4	치킨	34
20150901	2	Female	50		4	치킨	51
20150901	2	Male	50		4	치킨	31
20150901	2	Male	20		4	치킨	91
20150901	2	Female	20		4	치킨	77
20150901	2	Female	40		4	치킨	122
20150901	2	Male	over60		5	치킨	11
20150901	2	Male	10		5	치킨	22
20150901	2	Female	40		5	치킨	66
20150901	2	Female	30		5	치킨	112
20150901	2	Female	over60		5	치킨	9
20150901	2	Male	30		5	치킨	110
20150901	2	Female	10		5	치킨	12
20150901	2	Male	50		5	치킨	19
20150901	2	Female	50		5	치킨	23
20150901	2	Female	20		5	치킨	87
20150901	2	Male	20		5	치킨	125
20150901	2	Male	40		5	치킨	33
20150901	2	Male	10		6	치킨	12
20150901	2	Male	over60		6	치킨	10
20150901	2	Male	20		6	치킨	64
20150901	2	Female	50		6	치킨	17
20150901	2	Female	10		6	치킨	21
20150901	2	Male	50		6	치킨	23
20150901	2	Female	over60		6	치킨	7
20150901	2	Male	30		6	치킨	58
20150901	2	Female	30		6	치킨	62
20150901	2	Male	40		6	치킨	39
20150901	2	Female	40		6	치킨	42
20150901	2	Female	20		6	치킨	48
20150901	2	Female	over60		7	치킨	8
20150901	2	Female	10		7	치킨	13
20150901	2	Male	40		7	치킨	48
20150901	2	Male	30		7	치킨	90
20150901	2	Male	over60		7	치킨	9
20150901	2	Female	30		7	치킨	96
20150901	2	Male	10		7	치킨	28
20150901	2	Female	50		7	치킨	18
20150901	2	Male	50		7	치킨	20
20150901	2	Male	20		7	치킨	69
20150901	2	Female	20		7	치킨	52
20150901	2	Female	40		7	치킨	74
20150901	2	Male	over60		8	치킨	5
20150901	2	Male	10		8	치킨	10
20150901	2	Female	40		8	치킨	40
20150901	2	Female	30		8	치킨	44
20150901	2	Female	over60		8	치킨	5
20150901	2	Male	30		8	치킨	50
20150901	2	Female	10		8	치킨	15
20150901	2	Male	50		8	치킨	19
20150901	2	Female	50		8	치킨	18
20150901	2	Female	20		8	치킨	32
20150901	2	Male	20		8	치킨	44
20150901	2	Male	40		8	치킨	20
20150901	2	Female	10		9	치킨	12
20150901	2	Female	over60		9	치킨	12
20150901	2	Female	50		9	치킨	22
20150901	2	Male	20		9	치킨	62
20150901	2	Male	10		9	치킨	30
20150901	2	Female	20		9	치킨	74
20150901	2	Male	over60		9	치킨	5
20150901	2	Male	40		9	치킨	53
20150901	2	Female	40		9	치킨	88
20150901	2	Male	30		9	치킨	72
20150901	2	Female	30		9	치킨	79
20150901	2	Male	50		9	치킨	12
20150901	2	Female	30		10	치킨	44
20150901	2	Male	30		10	치킨	31
20150901	2	Female	50		10	치킨	21
20150901	2	Male	20		10	치킨	28
20150901	2	Female	40		10	치킨	33
20150901	2	Female	20		10	치킨	39
20150901	2	Male	40		10	치킨	18
20150901	2	Female	10		10	치킨	65
20150901	2	Female	over60		10	치킨	7
20150901	2	Male	10		10	치킨	61
20150901	2	Male	over60		10	치킨	5
20150901	2	Male	50		10	치킨	13
20150901	2	Male	10		11	치킨	14
20150901	2	Male	over60		11	치킨	9
20150901	2	Male	40		11	치킨	37
20150901	2	Male	30		11	치킨	53
20150901	2	Female	10		11	치킨	5
20150901	2	Female	30		11	치킨	59
20150901	2	Female	over60		11	치킨	8
20150901	2	Female	50		11	치킨	28
20150901	2	Male	50		11	치킨	14
20150901	2	Male	20		11	치킨	64
20150901	2	Female	20		11	치킨	57
20150901	2	Female	40		11	치킨	50
20150901	2	Female	50		12	치킨	21
20150901	2	Male	50		12	치킨	13
20150901	2	Female	30		12	치킨	84
20150901	2	Female	40		12	치킨	48
20150901	2	Male	20		12	치킨	76
20150901	2	Male	40		12	치킨	47
20150901	2	Female	20		12	치킨	60
20150901	2	Male	10		12	치킨	18
20150901	2	Male	over60		12	치킨	11
20150901	2	Female	10		12	치킨	21
20150901	2	Female	over60		12	치킨	10
20150901	2	Male	30		12	치킨	65
20150901	2	Male	over60		13	치킨	5
20150901	2	Male	10		13	치킨	23
20150901	2	Female	50		13	치킨	34
20150901	2	Male	20		13	치킨	90
20150901	2	Female	over60		13	치킨	11
20150901	2	Female	20		13	치킨	79
20150901	2	Female	10		13	치킨	8
20150901	2	Male	40		13	치킨	37
20150901	2	Female	40		13	치킨	70
20150901	2	Male	30		13	치킨	65
20150901	2	Female	30		13	치킨	99
20150901	2	Male	50		13	치킨	15
20150901	2	Female	10		14	치킨	8
20150901	2	Female	over60		14	치킨	6
20150901	2	Female	50		14	치킨	25
20150901	2	Male	20		14	치킨	80
20150901	2	Male	10		14	치킨	17
20150901	2	Female	20		14	치킨	51
20150901	2	Male	over60		14	치킨	7
20150901	2	Male	40		14	치킨	36
20150901	2	Female	40		14	치킨	51
20150901	2	Male	30		14	치킨	56
20150901	2	Female	30		14	치킨	52
20150901	2	Male	50		14	치킨	13
20150901	2	Male	10		15	치킨	33
20150901	2	Male	over60		15	치킨	10
20150901	2	Male	20		15	치킨	80
20150901	2	Female	50		15	치킨	31
20150901	2	Female	10		15	치킨	15
20150901	2	Male	50		15	치킨	27
20150901	2	Female	over60		15	치킨	13
20150901	2	Male	30		15	치킨	91
20150901	2	Female	30		15	치킨	113
20150901	2	Male	40		15	치킨	54
20150901	2	Female	40		15	치킨	95
20150901	2	Female	20		15	치킨	86
20150901	2	Female	50		16	치킨	11
20150901	2	Male	50		16	치킨	5
20150901	2	Female	30		16	치킨	41
20150901	2	Female	40		16	치킨	26
20150901	2	Male	20		16	치킨	57
20150901	2	Male	40		16	치킨	23
20150901	2	Female	20		16	치킨	45
20150901	2	Male	10		16	치킨	20
20150901	2	Male	over60		16	치킨	6
20150901	2	Female	10		16	치킨	8
20150901	2	Female	over60		16	치킨	5
20150901	2	Male	30		16	치킨	33
20150901	2	Male	10		17	치킨	20
20150901	2	Male	over60		17	치킨	6
20150901	2	Female	30		17	치킨	56
20150901	2	Female	40		17	치킨	50
20150901	2	Female	10		17	치킨	18
20150901	2	Male	40		17	치킨	36
20150901	2	Female	over60		17	치킨	5
20150901	2	Female	20		17	치킨	34
20150901	2	Male	20		17	치킨	50
20150901	2	Male	50		17	치킨	17
20150901	2	Female	50		17	치킨	18
20150901	2	Male	30		17	치킨	48
20150901	2	Male	over60		18	치킨	17
20150901	2	Male	10		18	치킨	30
20150901	2	Male	30		18	치킨	96
20150901	2	Male	40		18	치킨	63
20150901	2	Female	over60		18	치킨	21
20150901	2	Female	40		18	치킨	136
20150901	2	Female	10		18	치킨	35
20150901	2	Male	20		18	치킨	74
20150901	2	Female	20		18	치킨	83
20150901	2	Female	50		18	치킨	54
20150901	2	Male	50		18	치킨	24
20150901	2	Female	30		18	치킨	125
20150901	2	Female	50		19	치킨	17
20150901	2	Male	50		19	치킨	19
20150901	2	Female	30		19	치킨	62
20150901	2	Female	40		19	치킨	88
20150901	2	Male	20		19	치킨	39
20150901	2	Male	40		19	치킨	32
20150901	2	Female	20		19	치킨	39
20150901	2	Female	over60		19	치킨	10
20150901	2	Female	10		19	치킨	14
20150901	2	Male	over60		19	치킨	5
20150901	2	Male	10		19	치킨	28
20150901	2	Male	30		19	치킨	37
20150901	2	Female	50		20	치킨	21
20150901	2	Male	50		20	치킨	21
20150901	2	Female	30		20	치킨	90
20150901	2	Female	40		20	치킨	64
20150901	2	Male	20		20	치킨	94
20150901	2	Male	40		20	치킨	46
20150901	2	Female	20		20	치킨	101
20150901	2	Male	10		20	치킨	19
20150901	2	Male	over60		20	치킨	8
20150901	2	Female	10		20	치킨	17
20150901	2	Female	over60		20	치킨	9
20150901	2	Male	30		20	치킨	94
20150901	2	Female	20		21	치킨	53
20150901	2	Male	20		21	치킨	40
20150901	2	Male	40		21	치킨	35
20150901	2	Male	30		21	치킨	61
20150901	2	Male	50		21	치킨	24
20150901	2	Female	30		21	치킨	47
20150901	2	Female	50		21	치킨	12
20150901	2	Female	over60		21	치킨	8
20150901	2	Female	10		21	치킨	10
20150901	2	Male	over60		21	치킨	9
20150901	2	Male	10		21	치킨	16
20150901	2	Female	40		21	치킨	47
20150901	2	Male	40		22	치킨	49
20150901	2	Female	40		22	치킨	65
20150901	2	Female	20		22	치킨	29
20150901	2	Male	50		22	치킨	19
20150901	2	Male	30		22	치킨	68
20150901	2	Female	50		22	치킨	30
20150901	2	Female	30		22	치킨	96
20150901	2	Female	10		22	치킨	17
20150901	2	Female	over60		22	치킨	13
20150901	2	Male	10		22	치킨	19
20150901	2	Male	over60		22	치킨	5
20150901	2	Male	20		22	치킨	43
20150901	2	Male	20		23	치킨	41
20150901	2	Female	20		23	치킨	24
20150901	2	Female	40		23	치킨	21
20150901	2	Female	30		23	치킨	39
20150901	2	Female	50		23	치킨	14
20150901	2	Male	30		23	치킨	26
20150901	2	Male	50		23	치킨	13
20150901	2	Male	over60		23	치킨	6
20150901	2	Male	10		23	치킨	5
20150901	2	Female	over60		23	치킨	8
20150901	2	Female	10		23	치킨	7
20150901	2	Male	40		23	치킨	19
20150901	2	Male	30		24	치킨	59
20150901	2	Female	30		24	치킨	71
20150901	2	Male	50		24	치킨	15
20150901	2	Female	20		24	치킨	43
20150901	2	Male	40		24	치킨	26
20150901	2	Male	20		24	치킨	44
20150901	2	Female	40		24	치킨	42
20150901	2	Female	over60		24	치킨	16
