geneName	geneID	hour	value
Os01g0275300	1	1	-0.634477676922
Os01g0275300	1	2	-0.174318875171
Os01g0275300	1	3	-1.29760040945
Os04g0551500	2	1	0.712017062736
Os04g0551500	2	2	-0.546903981207
Os04g0551500	2	3	-4.42520415184
Os04g0454200	3	1	-0.0268208621583
Os04g0454200	3	2	-0.746757808997
Os04g0454200	3	3	-1.502075643
Os03g0586500	4	1	-0.0514974434269
Os03g0586500	4	2	0.139119179616
Os03g0586500	4	3	-1.16011543867
Os08g0118500	5	1	0
Os08g0118500	5	2	-0.911180656505
Os08g0118500	5	3	-6.68675262662
Os11g0545650	6	1	0
Os11g0545650	6	2	0
Os11g0545650	6	3	-6.57176932635
Os12g0280801	7	1	0
Os12g0280801	7	2	0
Os12g0280801	7	3	-2.21944771054
Os01g0525100	8	1	-0.946887315577
Os01g0525100	8	2	-0.910361317494
Os01g0525100	8	3	-6.33425719319
Os03g0843800	9	1	0.289352221328
Os03g0843800	9	2	0.246513451422
Os03g0843800	9	3	-1.19730175525
Os05g0316400	10	1	0
Os05g0316400	10	2	0
Os05g0316400	10	3	-3.57933705924
Os01g0628000	11	1	0
Os01g0628000	11	2	0
Os01g0628000	11	3	-4.39108664491
Os06g0598850	12	1	0.781072519299
Os06g0598850	12	2	-0.419094161249
Os06g0598850	12	3	-1.11320257782
Os03g0325400	13	1	0.221851575829
Os03g0325400	13	2	0.643126846187
Os03g0325400	13	3	-1.33901963733
Os07g0667300	14	1	0.685800037028
Os07g0667300	14	2	0.814507289767
Os07g0667300	14	3	-1.40358678118
Os01g0685300	15	1	0
Os01g0685300	15	2	-0.933254364229
Os01g0685300	15	3	-1.78026632427
Os02g0110900	16	1	0
Os02g0110900	16	2	0
Os02g0110900	16	3	-5.31629782562
Os11g0211700	17	1	0
Os11g0211700	17	2	0
Os11g0211700	17	3	-4.28281785129
Os06g0704100	18	1	-0.639823710844
Os06g0704100	18	2	-0.81352831052
Os06g0704100	18	3	-2.09962398763
Os08g0364500	19	1	-0.404774297881
Os08g0364500	19	2	0
Os08g0364500	19	3	-2.37175258
Os02g0114100	20	1	0.539744745342
Os02g0114100	20	2	0.538005522616
Os02g0114100	20	3	-4.87999486438
Os05g0183566	21	1	0
Os05g0183566	21	2	0
Os05g0183566	21	3	-3.80384697272
Os03g0807700	22	1	-0.660491670497
Os03g0807700	22	2	-0.915663748535
Os03g0807700	22	3	-1.47880241076
Os07g0133500	23	1	-0.57982429787
Os07g0133500	23	2	-0.293398132516
Os07g0133500	23	3	-1.31682693434
Os04g0558700	24	1	0.653483035371
Os04g0558700	24	2	-0.926982355703
Os04g0558700	24	3	-3.16747683976
Os10g0133166	25	1	0
Os10g0133166	25	2	0
Os10g0133166	25	3	-1.16238010995
