day	hour	value
9	4	19
9	5	3043
9	6	18477
9	7	39463
9	8	90371
9	9	87479
9	10	70022
9	11	55897
9	12	58202
9	13	65180
9	14	66202
9	15	72107
9	16	81183
9	17	98278
9	18	146789
9	19	150447
9	20	101552
9	21	97474
9	22	103836
9	23	69318
9	24	25515
9	1	5821
8	4	9
8	5	3238
8	6	19544
8	7	33037
8	8	73565
8	9	76805
8	10	62502
8	11	58137
8	12	61670
8	13	69747
8	14	69096
8	15	74318
8	16	83397
8	17	97590
8	18	147842
8	19	147400
8	20	105239
8	21	99145
8	22	108011
8	23	71181
8	24	27155
8	1	5287
7	4	14
7	5	3417
7	6	19737
7	7	37990
7	8	85945
7	9	78381
7	10	64672
7	11	62145
7	12	61743
7	13	70750
7	14	72126
7	15	76505
7	16	84972
7	17	101357
7	18	159207
7	19	163443
7	20	109424
7	21	104568
7	22	113362
7	23	76127
7	24	27512
7	1	6401
6	4	20
6	5	3517
6	6	18812
6	7	39126
6	8	83313
6	9	77169
6	10	63174
6	11	55488
6	12	54924
6	13	63478
6	14	62730
6	15	69002
6	16	76696
6	17	93652
6	18	147890
6	19	155766
6	20	101664
6	21	95730
6	22	103063
6	23	69288
6	24	25590
6	1	5870
5	4	16
5	5	3598
5	6	21137
5	7	39431
5	8	87734
5	9	95156
5	10	80041
5	11	64679
5	12	68481
5	13	79081
5	14	77241
5	15	80697
5	16	89293
5	17	106052
5	18	150889
5	19	152659
5	20	109989
5	21	105021
5	22	114533
5	23	79101
5	24	30821
5	1	5600
4	4	21
4	5	3219
4	6	19214
4	7	43016
4	8	97366
4	9	93531
4	10	79426
4	11	62914
4	12	65743
4	13	75020
4	14	72484
4	15	78118
4	16	87026
4	17	105167
4	18	158556
4	19	165361
4	20	112917
4	21	106574
4	22	116341
4	23	77141
4	24	28066
4	1	5244
3	4	16
3	5	3065
3	6	20102
3	7	43830
3	8	102366
3	9	96995
3	10	83380
3	11	64117
3	12	66124
3	13	77177
3	14	76499
3	15	81661
3	16	92206
3	17	113066
3	18	165777
3	19	171508
3	20	117033
3	21	109570
3	22	120866
3	23	80191
3	24	26932
3	1	4667
2	4	18
2	5	2436
2	6	15047
2	7	26165
2	8	63423
2	9	61645
2	10	52882
2	11	51753
2	12	56449
2	13	65297
2	14	66975
2	15	72383
2	16	76445
2	17	89753
2	18	131039
2	19	131726
2	20	92021
2	21	88023
2	22	92254
2	23	63232
2	24	23239
2	1	4387
1	4	21
1	5	3047
1	6	19084
1	7	31575
1	8	78267
1	9	77236
1	10	63545
1	11	62740
1	12	64228
1	13	77696
1	14	78057
1	15	83907
1	16	90773
1	17	105242
1	18	157936
1	19	159351
1	20	106340
1	21	102587
1	22	110444
1	23	73608
1	24	26787
1	1	5212
