day	hour	value
9	4	4825
9	5	31225
9	6	49276
9	7	143548
9	8	187104
9	9	113647
9	10	69828
9	11	66986
9	12	71251
9	13	77867
9	14	71622
9	15	76327
9	16	88481
9	17	98992
9	18	111540
9	19	75612
9	20	57858
9	21	57547
9	22	52819
9	23	29524
9	24	5048
9	1	42
8	4	4758
8	5	31941
8	6	48794
8	7	134453
8	8	180104
8	9	114466
8	10	72746
8	11	71064
8	12	74383
8	13	82743
8	14	74220
8	15	75712
8	16	85829
8	17	93896
8	18	107086
8	19	71663
8	20	57431
8	21	54252
8	22	50158
8	23	26466
8	24	4309
8	1	1
7	4	5389
7	5	33514
7	6	53463
7	7	152880
7	8	203604
7	9	120469
7	10	72821
7	11	70022
7	12	77271
7	13	84329
7	14	74608
7	15	78232
7	16	87320
7	17	98192
7	18	118390
7	19	75828
7	20	61526
7	21	59125
7	22	55199
7	23	29622
7	24	5097
7	1	2
6	4	5211
6	5	32476
6	6	52701
6	7	152076
6	8	193017
6	9	111819
6	10	66077
6	11	60184
6	12	65903
6	13	71324
6	14	64996
6	15	69496
6	16	79896
6	17	90858
6	18	104256
6	19	71163
6	20	57396
6	21	58344
6	22	54273
6	23	30405
6	24	4986
6	1	4
5	4	4553
5	5	32543
5	6	51804
5	7	140591
5	8	181981
5	9	119521
5	10	80212
5	11	75130
5	12	83593
5	13	88263
5	14	81359
5	15	86422
5	16	96029
5	17	108985
5	18	117524
5	19	83239
5	20	68550
5	21	66793
5	22	62219
5	23	34674
5	24	5249
5	1	4
4	4	5050
4	5	33054
4	6	55063
4	7	160930
4	8	205633
4	9	124310
4	10	76952
4	11	71679
4	12	77392
4	13	85039
4	14	76138
4	15	81080
4	16	91680
4	17	104057
4	18	119034
4	19	83627
4	20	66633
4	21	67319
4	22	64345
4	23	35177
4	24	5499
4	1	2
3	4	4976
3	5	32153
3	6	53023
3	7	161470
3	8	204943
3	9	126053
3	10	78316
3	11	74758
3	12	79316
3	13	88116
3	14	81039
3	15	86005
3	16	96154
3	17	112614
3	18	128283
3	19	91702
3	20	71163
3	21	71726
3	22	68239
3	23	35850
3	24	5523
3	1	2
2	4	3928
2	5	24734
2	6	38911
2	7	116053
2	8	157631
2	9	99280
2	10	63965
2	11	62088
2	12	67804
2	13	74510
2	14	69270
2	15	70628
2	16	75203
2	17	84254
2	18	96890
2	19	67059
2	20	52402
2	21	50650
2	22	47090
2	23	24980
2	24	3494
2	1	67
1	4	4794
1	5	30089
1	6	45787
1	7	137570
1	8	192415
1	9	119626
1	10	73682
1	11	72564
1	12	79687
1	13	88237
1	14	80915
1	15	82291
1	16	88741
1	17	102473
1	18	117727
1	19	75766
1	20	60401
1	21	59246
1	22	56620
1	23	30137
1	24	4115
1	1	2
