menu	한식	일식	양식	분식	과일	음료	기타	
사과	0	0	0	0	21	0	0	
홍삼액	0	0	0	0	0	14	0	
토마토주스	0	0	0	0	0	12	0	
토스트	0	0	4	0	0	0	0	
귤	0	0	0	0	4	0	0	
코코아	0	0	0	0	0	1	0	
쿼티치즈파운드버거세트	0	0	1	0	0	0	0	
치킨	0	0	0	0	0	0	3	
딸기	0	0	0	0	5	0	0	
낙지수제비	1	0	0	0	0	0	0	
미숫가루	0	0	0	0	0	12	0	
찜닭	1	0	0	0	0	0	0	
크로크무슈	0	0	2	0	0	0	0	
수제벤또	0	1	0		0	0	0	
떡볶이	0	0	0	4	0	0	0	
우유	0	0	0	0	0	14	0	
호두과자	0	0	0	0	0	0	5	
계란말이	1	0	0	0	0	0	0	
밥	7	0	0	0	0	0	0	
양파덮밥	1	0	0	0	0	0	0	
키위토마토주스	0	0	0	0	0	2	0	
복분자즙	0	0	0	0	0	1	0	
야끼소바	0	1	0	0	0	0	0	
김치볶음밥	1	0	0	0	0	0	0	
김치치즈볶음밥	1	0	0	0	0	0	0	
순대	0	0	0	0	0	0	1	
햄치즈 샌드위치	0	0	1	0	0	0	0	
아마트리치아타 파스타	0	0	1	0	0	0	0	
전주비빔밥	1	0	0	0	0	0	0	
집밥	1	0	0	0	0	0	0	
닭도리탕	3	0	0	0	0	0	0	
잡채	2	0	0	0	0	0	0	
사라다	1	0	0	0	0	0	0	
케이크	0	0	0	0	0	0	3	
자루소바	0	1	0	0	0	0	0	
뷔페	0	0	0	0	0	0	1	
타르트	0	0	0	0	0	0	1	
우동	0	1	0	0	0	0	0	
볶음우동	0	1	0	0	0	0	0	
롤케익	0	0	0	0	0	0	1	
크림스프	0	0	1	0	0	0	0	
불고기	1	0	0	0	0	0	0	
라면볶음	0	0	0	1	0	0	0	
파닭	0	0	0	0	0	0	2	
연어롤	0	1	0	0	0	0	0	
연어샐러드	0	0	1	0	0	0	0	
식빵	0	0	1	0	0	0	0	
딸기주스	0	0	0	0	0	1	0	
돼지김치두루치기	2	0	0	0	0	0	0	
김밥	2	0	0	0	0	0	0	
샤브샤브	0	0	0	0	0	0	1	
파스타	0	0	1	0	0	0	0	
계란찜	1	0	0	0	0	0	0	
김치전	1	0	0	0	0	0	0	
