day	hour	value
1	1	655
1	2	105
2	1	209
2	2	866
3	1	632
3	2	145
4	1	463
4	2	644
5	1	633
5	2	832
6	1	824
6	2	340
7	1	716
7	2	957
8	1	381
8	2	959
9	1	596
9	2	546
10	1	324
10	2	640
11	1	670
11	2	375
12	1	404
12	2	485
13	1	900
13	2	956
14	1	579
14	2	867
15	1	402
15	2	937
16	1	841
16	2	755
17	1	628
17	2	569
18	1	428
18	2	461
19	1	938
19	2	598
20	1	860
20	2	311
21	1	624
21	2	851
22	1	197
22	2	941
23	1	349
23	2	422
24	1	831
24	2	949
25	1	388
25	2	187
26	1	659
26	2	650
27	1	183
27	2	706
28	1	746
28	2	705
29	1	268
29	2	656
30	1	190
30	2	299
31	1	906
31	2	435
32	1	736
32	2	672
33	1	878
33	2	535
34	1	882
34	2	310
35	1	287
35	2	797
36	1	879
36	2	596
37	1	378
37	2	511
38	1	537
38	2	124
39	1	719
39	2	191
40	1	630
40	2	883
41	1	810
41	2	475
42	1	192
42	2	112
43	1	874
43	2	130
44	1	961
44	2	968
45	1	366
45	2	344
46	1	959
46	2	906
47	1	592
47	2	198
48	1	814
48	2	533
49	1	398
49	2	515
50	1	919
50	2	798
