day	hour	value
1	1 	168000
1	2	171000
1	3	168000
1	4	161000
1	5	153500
1	6	150500
1	7	145500
1	8	146000
1	9	145500
1	10	145500
1	11	145500
1	12	141500
1	13	134000
1	14	138000
1	15	136500
1	16	131000
1	17	134000
1	18	147000
1	19	157000
1	20	165500
2	1	107500
2	2	106000
2	3	103500
2	4	101000
2	5	100500
2	6	100500
2	7	100000
2	8	100500
2	9	99700
2	10	99700
2	11	103500
2	12	103500
2	13	103500
2	14	100500
2	15	100500
2	16	96900
2	17	94800
2	18	98300
2	19	98200
2	20	99000
3	1	137000
3	2	136500
3	3	138000
3	4	138000
3	5	136500
3	6	134500
3	7	125500
3	8	119000
3	9	126000
3	10	126000
3	11	122000
3	12	120000
3	13	118500
3	14	110500
3	15	110500
3	16	112000
3	17	115000
3	18	120000
3	19	125000
3	20	126000
4	1	82400
4	2	83100
4	3	83900
4	4	83400
4	5	82900
4	6	80900
4	7	82100
4	8	80700
4	9	84100
4	10	84100
4	11	82400
4	12	83300
4	13	81400
4	14	80300
4	15	77600
4	16	76800
4	17	77100
4	18	81500
4	19	80300
4	20	83500
5	1	296500
5	2	294500
5	3	280000
5	4	275000
5	5	278500
5	6	264000
5	7	258000
5	8	259500
5	9	264500
5	10	264500
5	11	266500
5	12	263500
5	13	251500
5	14	245500
5	15	242500
5	16	242500
5	17	240500
5	18	252000
5	19	252500
5	20	257000
