day	hour	value
1	1 	161000
1	2	164500
1	3	165000
1	4	170000
1	5	163500
1	6	158500
1	7	163000
1	8	164500
1	9	160000
1	10	159500
1	11	157500
1	12	154500
1	13	146500
1	14	147000
1	15	147000
1	16	147000
1	17	147000
1	18	146500
1	19	153500
1	20	151000
2	1	92200
2	2	92900
2	3	96100
2	4	97800
2	5	94600
2	6	96900
2	7	96600
2	8	97700
2	9	98300
2	10	97600
2	11	95600
2	12	97200
2	13	95800
2	14	95600
2	15	95800
2	16	95800
2	17	95800
2	18	98900
2	19	98300
2	20	99700
3	1	109500
3	2	109500
3	3	114500
3	4	117000
3	5	115000
3	6	116000
3	7	119000
3	8	123500
3	9	125000
3	10	121000
3	11	122000
3	12	115000
3	13	116000
3	14 	116000 
3	15	115500
3	16	115500
3	17	115500
3	18	115000
3	19	115500
3	20	115000
4	1	87600
4	2	88100
4	3	88900
4	4	88200
4	5	87600
4	6	86400
4	7	88000
4	8	89900
4	9	97000
4	10	98600
4	11	96700
4	12	99000
4	13	102000
4	14	104000
4	15	105000
4	16	105000
4	17	105000
4	18	108500
4	19	108500
4	20	105500
5	1	272500
5	2	278000
5	3	274500
5	4	281000
5	5	269000
5	6	279000
5	7	281000
5	8	284000
5	9	284500
5	10	285500
5	11	285000
5	12	279500
5	13	277500
5	14	276500
5	15	276500
5	16	276500
5	17	276500
5	18	288000
5	19	288500
5	20	281000
