day	hour	value
1	1	5
1	2	6
1	3	5
1	4	4
1	5	11
1	6	12
1	7	13
1	8	14
1	9	15
1	10	18
1	11	17
1	12	16
2	1	15
2	2	16
2	3	18
2	4	15
2	5	5
2	6	10
2	7	18
2	8	17
2	9	15
2	10	14
2	11	16
2	12	17
3	1	10
3	2	11
3	3	15
3	4	14
3	5	12
3	6	17
3	7	18
3	8	20
3	9	27
3	10	25
3	11	24
3	12	21
4	1	20
4	2	21
4	3	24
4	4	23
4	5	15
4	6	15
4	7	17
4	8	16
4	9	20
4	10	21
4	11	23
4	12	27
5	1	20
5	2	21
5	3	22
5	4	25
5	5	24
5	6	27
5	7	28
5	8	27
5	9	29
5	10	30
5	11	35
5	12	32
6	1	21
6	2	25
6	3	27
6	4	28
6	5	29
6	6	30
6	7	24
6	8	21
6	9	22
6	10	27
6	11	28
6	12	24
7	1	25
7	2	26
7	3	21
7	4	24
7	5	27
7	6	26
7	7	27
7	8	25
7	9	29
7	10	37
7	11	30
7	12	35
