ep	char	value
1	이지란	0
1	남은	0
1	업둥이	0
1	이숭인	1
1	이방과	0
1	심효생	0
1	이성계	1
1	이색	0
1	이방원	0
1	조준	0
1	조영규	0
1	배극렴	0
1	이방석	0
1	보수주인	0
1	염흥방	0
1	민제	0
1	하륜	1
1	정몽주	5
1	윤소종	0
1	최영	0
1	강씨	0
1	이인임	3
1	박상충	1
1	권근	1
1	최씨	1
1	이첨	0
1	변안열	0
1	참봉이	0
2	이지란	0
2	남은	0
2	업둥이	0
2	이숭인	0
2	이방과	0
2	심효생	0
2	이성계	0
2	이색	0
2	이방원	0
2	조준	0
2	조영규	0
2	배극렴	0
2	이방석	0
2	보수주인	0
2	염흥방	0
2	민제	0
2	하륜	0
2	정몽주	3
2	윤소종	0
2	최영	0
2	강씨	0
2	이인임	5
2	박상충	0
2	권근	0
2	최씨	1
2	이첨	0
2	변안열	0
2	참봉이	0
3	이지란	0
3	남은	0
3	업둥이	0
3	이숭인	0
3	이방과	0
3	심효생	0
3	이성계	0
3	이색	0
3	이방원	0
3	조준	0
3	조영규	0
3	배극렴	0
3	이방석	0
3	보수주인	0
3	염흥방	0
3	민제	0
3	하륜	0
3	정몽주	4
3	윤소종	0
3	최영	0
3	강씨	0
3	이인임	3
3	박상충	0
3	권근	0
3	최씨	2
3	이첨	0
3	변안열	0
3	참봉이	0
4	이지란	0
4	남은	0
4	업둥이	0
4	이숭인	1
4	이방과	0
4	심효생	0
4	이성계	0
4	이색	1
4	이방원	0
4	조준	0
4	조영규	0
4	배극렴	0
4	이방석	0
4	보수주인	0
4	염흥방	3
4	민제	0
4	하륜	0
4	정몽주	13
4	윤소종	0
4	최영	2
4	강씨	0
4	이인임	8
4	박상충	8
4	권근	1
4	최씨	1
4	이첨	1
4	변안열	0
4	참봉이	0
5	이지란	0
5	남은	0
5	업둥이	0
5	이숭인	0
5	이방과	0
5	심효생	0
5	이성계	2
5	이색	1
5	이방원	0
5	조준	0
5	조영규	0
5	배극렴	0
5	이방석	0
5	보수주인	0
5	염흥방	1
5	민제	0
5	하륜	1
5	정몽주	3
5	윤소종	0
5	최영	2
5	강씨	0
5	이인임	4
5	박상충	2
5	권근	0
5	최씨	2
5	이첨	0
5	변안열	0
5	참봉이	0
6	이지란	0
6	남은	0
6	업둥이	4
6	이숭인	0
6	이방과	0
6	심효생	0
6	이성계	0
6	이색	0
6	이방원	0
6	조준	0
6	조영규	0
6	배극렴	0
6	이방석	0
6	보수주인	4
6	염흥방	0
6	민제	0
6	하륜	0
6	정몽주	1
6	윤소종	0
6	최영	0
6	강씨	0
6	이인임	0
6	박상충	0
6	권근	0
6	최씨	0
6	이첨	0
6	변안열	0
6	참봉이	3
7	이지란	0
7	남은	0
7	업둥이	8
7	이숭인	0
7	이방과	0
7	심효생	0
7	이성계	0
7	이색	0
7	이방원	0
7	조준	0
7	조영규	0
7	배극렴	0
7	이방석	0
7	보수주인	4
7	염흥방	0
7	민제	0
7	하륜	0
7	정몽주	0
7	윤소종	0
7	최영	0
7	강씨	0
7	이인임	0
7	박상충	0
7	권근	0
7	최씨	0
7	이첨	0
7	변안열	0
7	참봉이	4
8	이지란	0
8	남은	0
8	업둥이	4
8	이숭인	0
8	이방과	0
8	심효생	0
8	이성계	0
8	이색	0
8	이방원	0
8	조준	0
8	조영규	0
8	배극렴	0
8	이방석	0
8	보수주인	1
8	염흥방	0
8	민제	0
8	하륜	0
8	정몽주	0
8	윤소종	0
8	최영	0
8	강씨	0
8	이인임	0
8	박상충	0
8	권근	0
8	최씨	0
8	이첨	0
8	변안열	0
8	참봉이	3
9	이지란	0
9	남은	0
9	업둥이	10
9	이숭인	0
9	이방과	0
9	심효생	0
9	이성계	0
9	이색	0
9	이방원	0
9	조준	0
9	조영규	0
9	배극렴	0
9	이방석	0
9	보수주인	7
9	염흥방	0
9	민제	0
9	하륜	0
9	정몽주	0
9	윤소종	0
9	최영	0
9	강씨	0
9	이인임	0
9	박상충	0
9	권근	0
9	최씨	1
9	이첨	0
9	변안열	0
9	참봉이	5
10	이지란	1
10	남은	0
10	업둥이	2
10	이숭인	0
10	이방과	0
10	심효생	0
10	이성계	1
10	이색	0
10	이방원	0
10	조준	0
10	조영규	0
10	배극렴	0
10	이방석	0
10	보수주인	2
10	염흥방	0
10	민제	0
10	하륜	0
10	정몽주	0
10	윤소종	0
10	최영	0
10	강씨	0
10	이인임	0
10	박상충	0
10	권근	0
10	최씨	0
10	이첨	0
10	변안열	1
10	참봉이	1
11	이지란	0
11	남은	0
11	업둥이	1
11	이숭인	0
11	이방과	0
11	심효생	0
11	이성계	1
11	이색	0
11	이방원	0
11	조준	0
11	조영규	0
11	배극렴	1
11	이방석	0
11	보수주인	0
11	염흥방	0
11	민제	0
11	하륜	0
11	정몽주	2
11	윤소종	0
11	최영	0
11	강씨	0
11	이인임	0
11	박상충	0
11	권근	0
11	최씨	2
11	이첨	0
11	변안열	1
11	참봉이	0
12	이지란	0
12	남은	0
12	업둥이	6
12	이숭인	0
12	이방과	0
12	심효생	0
12	이성계	0
12	이색	0
12	이방원	0
12	조준	0
12	조영규	0
12	배극렴	0
12	이방석	0
12	보수주인	0
12	염흥방	5
12	민제	0
12	하륜	0
12	정몽주	0
12	윤소종	0
12	최영	0
12	강씨	0
12	이인임	1
12	박상충	0
12	권근	0
12	최씨	5
12	이첨	0
12	변안열	0
12	참봉이	1
13	이지란	0
13	남은	0
13	업둥이	5
13	이숭인	0
13	이방과	0
13	심효생	0
13	이성계	0
13	이색	0
13	이방원	2
13	조준	0
13	조영규	1
13	배극렴	0
13	이방석	0
13	보수주인	0
13	염흥방	0
13	민제	0
13	하륜	0
13	정몽주	2
13	윤소종	0
13	최영	0
13	강씨	0
13	이인임	0
13	박상충	0
13	권근	0
13	최씨	6
13	이첨	0
13	변안열	0
13	참봉이	5
14	이지란	0
14	남은	0
14	업둥이	5
14	이숭인	0
14	이방과	0
14	심효생	0
14	이성계	0
14	이색	0
14	이방원	0
14	조준	0
14	조영규	0
14	배극렴	0
14	이방석	0
14	보수주인	0
14	염흥방	0
14	민제	0
14	하륜	0
14	정몽주	4
14	윤소종	0
14	최영	0
14	강씨	0
14	이인임	1
14	박상충	0
14	권근	0
14	최씨	1
14	이첨	0
14	변안열	0
14	참봉이	0
15	이지란	1
15	남은	2
