country	month	value
1	1	1.6
1	2	4.1
1	3	10.2
1	4	17.6
1	5	22.8
1	6	26.9
1	7	28.8
1	8	29.5
1	9	25.6
1	10	19.7
1	11	11.5
1	12	4.2
2	1	9.8
2	2	10
2	3	12.9
2	4	18.4
2	5	22.7
2	6	25.2
2	7	29
2	8	30.8
2	9	26.8
2	10	21.6
2	11	16.7
2	12	12.3
3	1	1.6
3	2	4
3	3	11.3
3	4	19.9
3	5	26.4
3	6	30.3
3	7	30.8
3	8	29.5
3	9	25.8
3	10	19
3	11	10.1
3	12	3.3
4	1	18.6
4	2	18.6
4	3	21.5
4	4	25.1
4	5	28.4
4	6	30.4
4	7	31.3
4	8	31.1
4	9	30.2
4	10	27.7
4	11	24
4	12	20.3
5	1	32
5	2	32.7
5	3	33.7
5	4	34.9
5	5	34
5	6	33.1
5	7	32.7
5	8	32.5
5	9	32.3
5	10	32
5	11	31.6
5	12	31.3
6	1	29.9
6	2	30.3
6	3	31.5
6	4	32.5
6	5	32.5
6	6	31.4
6	7	32.3
6	8	32
6	9	33
6	10	32.7
6	11	31.3
6	12	32
