subject,day,value
1,1,12998
1,2,12782
1,3,12174
1,4,23787
1,5,3446
1,6,17025
1,7,15738
1,8,16936
1,9,12148
1,10,11768
1,11,3065
1,12,11581
1,13,20490
1,14,15453
1,15,12009
1,16,16464
1,17,5041
1,18,10191
1,19,16555
1,20,11628
2,1,0
2,2,8596
2,3,14244
2,4,12726
2,5,10884
2,6,12250
2,7,13170
2,8,12456
2,9,10192
2,10,15800
2,11,13952
2,12,11790
2,13,10330
2,14,10288
2,15,6678
2,16,11392
2,17,8546
2,18,12340
2,19,9876
2,20,14988
3,1,17170
3,2,6621
3,3,6387
3,4,12622
3,5,8291
3,6,9922
3,7,10457
3,8,9256
3,9,7732
3,10,2840
3,11,9913
3,12,8429
3,13,14240
3,14,10664
3,15,11019
3,16,5433
3,17,0
3,18,0
3,19,7891
3,20,10866
4,1,6520
4,2,9092
4,3,10094
4,4,5572
4,5,7330
4,6,4232
4,7,11670
4,8,6156
4,9,11776
4,10,11532
4,11,5788
4,12,9280
4,13,8158
4,14,5696
4,15,11270
4,16,13302
4,17,7706
4,18,10680
4,19,6814
4,20,8738
5,1,19656
5,2,8600
5,3,10916
5,4,13064
5,5,18060
5,6,18666
5,7,10734
5,8,9426
5,9,12184
5,10,10494
5,11,17358
5,12,9732
5,13,8642
5,14,16846
5,15,2044
5,16,13302
5,17,7706
5,18,10680
5,19,6814
5,20,1080
6,1,4384
6,2,12060
6,3,11680
6,4,6750
6,5,13400
6,6,7982
6,7,606
6,8,9862
6,9,7850
6,10,7232
6,11,6572
6,12,12882
6,13,8356
6,14,9050
6,15,11568
6,16,11272
6,17,2826
6,18,6302
6,19,1874
6,20,12166
