Name,Round,lng,lat,HQ
InvoiNet,4,-64,-34,HQ: Argentina
Buckley & Brown,0.2,151,-34,"HQ: Sydney, Australia"
Simply Wall Street,0.6,151.1,-34.2,"HQ: Sydney, Australia"
PractiFI,1.1,151.3,-34.4,"HQ: Sydney, Australia"
StockSpot,1.25,151.5,-34.6,"HQ: Sydney, Australia"
MoneyBrilliant,1.5,151. 7,-33,"HQ: Darlinghurst, Australia"
Investorist,2.5,144,-37,"HQ: Melbourne, Australia"
digitalBTC,2.8,115.91,-32,"HQ: Bentley, Australia"
Mint Payments,2.9,151.7,-34,"HQ: Sydney, Australia"
iSignThis,3.1,144.98,-37.8,"HQ: Collingwood, Australia"
Clipp,3.6,151,-34,"HQ: Sydney, Australia"
SelfWealth,4.3,145.09,-37.82,"HQ: Surrey Hills, Australia"
Beat the Q,5,145.09,-37.82,"HQ: Surrey Hills, Australia"
Moula,30,144,-37,"HQ: Melbourne, Australia"
Prospa,60,151.9,-34,"HQ: Sydney, Australia"
SureCash,7,60.03,24.26,HQ: Bangladesh
Bitt,1.5,-59.54,13.07,"HQ: Christ Church, Barbados"
Sign2Pay,0.7,4.394,51.225,"HQ: Antwerp, Belgium"
Trunomi,3,-64.781,32.294,"HQ: Hamilton, Bermuda"
Vindi,0.047,-39.88,-13.299318,"HQ: Sao Paolo, Brazil"
BankFacil,3,-39.88,-13.299318,"HQ: Sao Paulo, Brazil"
GuiaBolso,7,-39.88,-13.299318,HQ: Brazil
Nubank,30,-39.88,-13.299318,"HQ: Sao Paulo, Brazil"
Digital Retail Apps,0.76,-79.3849,43.6692,"HQ:Toronto, Ontario, Canada"
Koho,1,-79.3849,43.6692,"HQ: Toronto, Canada"
Control,1.5,-213.1204,49.282,"HQ: Vancouver, Canada"
Nest Wealth,1.5,-79.3849,43.6692,"HQ: Toronto, Ontario, Canada"
Tio Networks,1.7,-213.1204,49.282,"HQ: Vancouver, BC, Canada"
Sensibill,2,-79.3849,43.6692,"HQ: Toronto, Canada"
FundThrough,2.2,-79.3849,43.6692,"HQ: Toronto, Canada"
Mobi724 Global Solutions,3,-73.5843,45.5068,"HQ: Montreal, Canada"
Procurify,4,-123.1315,49.164082,"HQ: Richmond, Canada"
VersaPay,4.8,-213.1204,49.282,"HQ: Vancouver, Canada"
Dream Payments,6,-79.3849,43.6692,"HQ: Toronto, Canada"
Mobeewave,6.5,-73.5843,45.5068,"HQ: Montreal, Quebec"
Bench,7,-213.1204,49.282,"HQ: Vancouver, Canada"
Stox,8,-213.1204,49.282,"HQ: Vancouver, Canada"
Wave,10,-79.3849,43.6692,"HQ: Toronto, Canada"
GroupLend,10.2,-213.1204,49.282,"HQ: Vancouver, BC, Canada"
Payfirma,13,-213.1204,49.282,"HQ: Vancouver, Canada"
SecureKey,19,-79.3849,43.6692,"HQ: Toronto, Canada"
Ethoca,45,-79.3849,43.6692,"HQ: Toronto, Canada"
Real Matters,60,-79.3441,43.8563,"HQ: Markham, Canada"
Uanbai,0.1,-70.668,-33.446,"HQ: Santiago, Chile"
Face++,25,116.4,39.9269,"HQ: Bejing, China"
China Rapid Finance,35,121.4697,31.2196,"HQ: Shanghai, China"
Aixuidai,40,116.4968,39.9744,"HQ: Rayleigh, China"
U51,50,116.4,39.9269,HQ: China
Jimubox,60,116.4,39.9269,HQ: China
Qufenqi,60,116.4,39.9269,"HQ: Bejing, China"
Dianrong,60,121.4697,31.2196,"HQ: Shanghai, China"
Lufax,60,121.4697,31.2196,"HQ: Shanghai, China"
eToro,12,33.0223,34.7062,"HQ: Limassol, Cyprus"
TradeWorks,0.3,12.5649,55.6754,"HQ: Copenhagen, Denmark"
Bondora,5,24.7523,59.4361,"HQ: Tallinn, Estonia"
Invesdor,1.1,24.9421,60.1716,HQ: Finland
Fellow Finance,2.2,24.9421,60.1716,"HQ: Helsinki, Finland"
Wirate,0.11,2.3457,48.8554,HQ: France
Pumpkin,0.8,3.0612,50.6297,"HQ: Lille, France"
Paymium,1.1,2.3457,48.8554,"HQ: Paris, France"
Lemon Way,1.45,2.3457,48.8554,"HQ: Paris, France"
Ledger,1.5,2.3457,48.8554,HQ: France
Payplug,1.95,2.3457,48.8554,"HQ: Paris, France"
NeuCoin,2.3,2.3457,48.8554,"HQ: Paris, France"
Afrimarket,2.8,2.3457,48.8554,"HQ: Paris, France"
The Assets,3,2.3457,48.8554,"HQ: Paris, France"
Lendix,3.5,2.3457,48.8554,"HQ: Paris, France"
Famoco,4.4,2.3457,48.8554,"HQ: Paris, France"
Unilend,8.6,2.3457,48.8554,"HQ: Paris, France"
SlimPay,16.6,2.3457,48.8554,"HQ: Paris, France"
Prêt d'Union,34,2.3457,48.8554,"HQ: Paris, France"
Payever,0.55,9.9937,53.5509,"HQ: Hamburg, Germany"
Awamo,0.55,8.6734,50.1095,"HQ: Frankfurt, Germany"
Bitbond,0.67,13.4072,52.5172,"HQ: Berlin, Germany"
ChartMogul,0.9,13.4072,52.5172,"HQ: Berlin, Germany"
TopCheck,1.1,13.4072,52.5172,"HQ: Berlin, Germany"
CASHBOARD,2.2,13.4072,52.5172,"HQ: Berlin, Germany"
Deposit Solutions,6.1,9.9937,53.5509,"HQ: Hamburg, Germany"
Companisto,8,13.4072,52.5172,"HQ: Berlin, Germany"
Simplesurance,8,13.4072,52.5172,"HQ: Berlin, Germany"
Number26,10.7,13.4072,52.5172,"HQ: Berlin, Germany"
FinTech Group,11.4,8.6734,50.1095,"HQ: Frankfurt, Germany"
Smava,16,13.4072,52.5172,"HQ: Berlin, Germany"
SavingsGlobal,21.8,13.4072,52.5172,"HQ: Berlin, Germany"
Kreditech,60,9.9937,53.5509,"HQ: Hamburg, Germany"
Elorus,0.055,22.206,39.497,HQ: Greece
WeLab,20,114.1741,22.274,"HQ: Hong Kong, China"
CompareAsia,40,114.17,22.27,"HQ: Hong Kong, China"
RazorPay,0.12,75.789,26.909,"HQ: Jaipur, India"
Stockal,0.16,77.588,12.965,"HQ: Bangalore, India"
SmartPocket,0.24,77.588,12.965,"HQ: Bengaluru, India"
TradeLab,0.39,77.588,12.965,"HQ: Bangaluru, India"
MockBank,0.4,77.588,12.965,"HQ: Bangalore, India"
GREX,0.625,73.859,18.52,"HQ: Pune, India"
ToneTag,1,72.877,19.076,"HQ: Mumbai, India"
Momoe Technologies,1.2,77.588,12.965,"HQ: Bengaluru, India"
myCFO,1.5,72.877,19.076,"HQ: Mumbai, India"
QuikWallet (LivQuik),1.6,72.877,19.076,"HQ: Mumbai, India"
BankerBay,2,77.588,12.965,"HQ: Bangalore, India"
Fxkart,2,77.588,12.965,"HQ: Bengaluru, India"
Creditmantri,2.5,,,"HQ: Chennai, India"
Scripbox,2.5,77.588,12.965,"HQ: Bangalore, India"
Faircent,4,77.02,28.45,"HQ: Gurgaon, India"
Innovati,5,77.588,12.965,"HQ: Bangalore, India"
OneAssist Consumer Solutions,7.5,72.877,19.076,"HQ: Mumbai, India"
Lendingkart,10,72.58,23.02,"HQ: Ahmedabad, India"
NumberMall,10,78.49,17.43,"HQ: Secunderabas, India"
FundsIndia,11,80.27,13.08,"HQ: Chennai, India"
CoverFox,12,72.877,19.076,"HQ: Mumbai, India"
CapitalFloat,13,77.22,28.615,HQ: India
Fintellix (formerly iCreate),15,77.588,12.965,"HQ: Bengaluru, India"
Itz Cash,16,77.22,28.615,HQ: India
Ezetap,23.5,77.588,12.965,"HQ: Bangalore, India"
MobiQwik,25,77.22,28.615,"HQ: New Delhi, India"
Mswipe,25,72.877,19.076,"HQ: Mumbai, India"
PolicyBazaar,40,77.02,28.45,"HQ: Gurgaon, India"
BankBazaar,60,80.27,13.08,"HQ: Chennai, India"
FreeCharge,60,72.877,19.076,"HQ: Mumbai, India"
One97,60,77.395,28.535,"HQ: Noidia, India"
