code,name,value,population,ratio
11,서울시,207736,10369593,2.00331874163239
11020,중구,3203,136227,2.35122259170355
11030,용산구,4521,249914,1.80902230367246
11040,성동구,5517,303891,1.81545356723299
11050,광진구,5188,377375,1.37475985425638
11060,동대문구,8812,376319,2.34163037210452
11070,중랑구,9439,423411,2.2292760462057
11080,성북구,9904,475961,2.08084275812514
11090,강북구,11163,338410,3.29866138707485
11100,도봉구,5828,355712,1.63840410219503
11110,노원구,20671,586056,3.52713733841135
11110,종로구,3146,165344,1.90269982581769
11120,은평구,10389,503243,2.0644102352144
11130,서대문구,5471,320861,1.70509971607643
11140,마포구,6089,395830,1.53828663820327
11150,양천구,6481,490708,1.32074471987414
11160,강서구,17594,591653,2.97370249115613
11170,구로구,5748,457131,1.25740761400999
11180,금천구,7421,258030,2.87602216796497
11190,영등포구,6873,421436,1.63085260869978
11200,동작구,5721,419261,1.36454380445594
11210,관악구,10399,531960,1.95484622903978
11220,서초구,3334,454288,0.733895678512309
11230,강남구,9472,583446,1.6234578692801
11240,송파구,5940,671794,0.884199620717065
11250,강동구,6659,481332,1.38345258574123
1101053,사직동,90,10132,0.888274772996447
1101054,삼청동,46,3268,1.40758873929009
1101055,부암동,103,11356,0.907009510390983
1101056,평창동,128,19595,0.653227864251084
1101057,무악동,120,8445,1.42095914742451
1101058,교남동,113,5005,2.25774225774226
1101060,가회동,55,5214,1.05485232067511
1101061,종로1·2·3·4가동,504,8920,5.65022421524664
1101063,종로5·6가동,174,6069,2.86702916460702
1101064,이화동,136,9312,1.46048109965636
1101065,혜화동,168,19631,0.855789312821558
1101067,창신1동,302,7097,4.25531914893617
1101068,창신2동,289,11311,2.55503492175758
1101069,창신3동,131,8091,1.61908293165245
1101070,숭인1동,183,7348,2.49047359825803
1101071,숭인2동,259,10078,2.56995435602302
1101072,청운효자동,170,14472,1.1746821448314
1102052,소공동,11,1895,0.580474934036939
1102054,회현동,449,6505,6.90238278247502
1102055,명동,47,3614,1.30049806308799
1102057,필동,88,5040,1.74603174603175
1102058,장충동,63,6079,1.03635466359599
1102059,광희동,92,5961,1.54336520718
1102060,을지로동,77,1920,4.01041666666667
1102065,신당5동,232,10788,2.1505376344086
1102067,황학동,290,13186,2.1993022903079
1102068,중림동,341,9562,3.56619953984522
1102069,신당동,193,8758,2.20369947476593
1102070,다산동,262,16268,1.61052372756331
1102071,약수동,543,19160,2.83402922755741
1102072,청구동,405,15587,2.59831911208058
1102073,동화동,110,11904,0.924059139784946
1103051,후암동,537,19683,2.72824264593812
1103052,용산2가동,331,13330,2.48312078019505
1103053,남영동,857,8576,9.99300373134328
1103057,원효로2동,202,15671,1.2890051687831
1103058,효창동,115,11276,1.01986520042568
1103059,용문동,197,12994,1.51608434662152
1103063,이촌1동,24,28007,0.0856928624986611
1103064,이촌2동,57,9800,0.581632653061225
1103065,이태원1동,147,9470,1.55227032734952
1103066,이태원2동,178,11550,1.54112554112554
1103069,서빙고동,126,14293,0.881550409291261
1103070,보광동,386,17665,2.18511180300028
1103071,청파동,561,22939,2.44561663542439
1103072,원효로1동,167,13547,1.23274525725253
1103073,한강로동,255,16491,1.54629798071675
1103074,한남동,381,24622,1.54739663715377
1104052,왕십리2동,288,16812,1.71306209850107
1104054,마장동,506,25148,2.01208843645618
1104055,사근동,141,12574,1.12136153968506
1104056,행당1동,276,15553,1.77457725197711
1104057,행당2동,497,26399,1.88264706996477
1104058,응봉동,131,17158,0.763492248513813
1104059,금호1가동,476,14117,3.37182120847205
1104062,금호4가동,265,15004,1.76619568115169
1104065,성수1가1동,338,17774,1.90165410149657
1104066,성수1가2동,227,18111,1.25338192258848
1104067,성수2가1동,399,20532,1.94330800701344
1104068,성수2가3동,126,12434,1.01335049059032
1104069,송정동,329,12292,2.67653758542141
1104070,용답동,505,17358,2.90932135038599
1104071,왕십리도선동,353,16081,2.19513711833841
1104072,금호2·3가동,380,23056,1.64816099930604
1104073,옥수동,280,23487,1.19214884829906
1105053,화양동,218,24269,0.898265276690428
1105054,군자동,416,22189,1.8748028302312
1105055,중곡1동,275,16648,1.65185007208073
1105056,중곡2동,372,22633,1.64361772632881
1105057,중곡3동,492,18475,2.66305818673884
1105058,중곡4동,765,31842,2.40248728094969
1105059,능동,126,11470,1.09851787271142
1105060,구의1동,308,23290,1.32245598969515
1105061,구의2동,487,26479,1.83919332301069
1105062,구의3동,165,29997,0.55005500550055
1105063,광장동,76,37159,0.20452649425442
1105064,자양1동,478,24459,1.95429085408234
1105065,자양2동,295,28520,1.0343618513324
1105066,자양3동,197,31436,0.626670059804046
1105067,자양4동,518,28509,1.81697007962398
1106071,회기동,146,12627,1.15625247485547
1106072,휘경1동,402,17139,2.34552774374234
1106073,휘경2동,219,25735,0.850981154070332
1106080,청량리동,959,24584,3.90091116173121
1106081,용신동,960,32629,2.94216801005241
1106082,제기동,876,28883,3.03292594259599
1106083,전농1동,1264,31997,3.95037034722005
1106084,전농2동,445,21387,2.08070323093468
1106085,답십리1동,471,25989,1.81230520604871
1106086,답십리2동,754,30027,2.51107336730276
1106087,장안1동,644,37591,1.71317602617648
1106088,장안2동,454,32673,1.3895265203685
1106089,이문1동,731,32201,2.27011583491196
1106090,이문2동,487,22857,2.13063831648948
1107052,면목2동,560,27936,2.00458190148912
1107054,면목4동,899,21713,4.14037673283287
1107055,면목5동,282,13597,2.07398690887696
1107057,면목7동,394,24860,1.58487530168946
1107059,상봉1동,1052,26746,3.93329843714948
1107060,상봉2동,344,18438,1.86571211628159
1107061,중화1동,310,21287,1.45628787522901
1107062,중화2동,853,29665,2.87544244058655
1107064,묵1동,351,35241,0.995998978462586
1107065,묵2동,355,19563,1.81465010478965
1107068,망우3동,584,18789,3.10820160732343
1107069,신내1동,412,42203,0.976233917020117
1107070,신내2동,938,24192,3.87731481481481
1107071,면목본동,759,36584,2.07467745462497
1107072,면목3·8동,638,28695,2.22338386478481
1107073,망우본동,708,33902,2.08837236741195
1108058,돈암1동,303,16324,1.85616270521931
1108059,돈암2동,221,23614,0.935885491657491
1108060,안암동,299,18114,1.65065695042509
1108061,보문동,288,15124,1.90425813276911
1108062,정릉1동,310,19975,1.55193992490613
1108063,정릉2동,496,23962,2.0699440781237
1108064,정릉3동,573,17980,3.18687430478309
1108065,정릉4동,555,27815,1.99532626280784
1108066,길음1동,390,37987,1.02666701766394
1108068,길음2동,383,17404,2.20064353022294
1108071,월곡1동,595,28822,2.0643952536257
1108072,월곡2동,480,21425,2.24037339556593
1108076,장위1동,856,24380,3.51107465135357
1108077,장위2동,739,21452,3.44490024240164
1108078,장위3동,625,17534,3.56450325082696
