name,value
사직동,1677
삼청동,640
부암동,1706
평창동,2922
무악동,1241
교남동,858
가회동,882
종로1·2·3·4가동,1781
종로5·6가동,1076
이화동,1205
창신1동,1093
창신2동,1573
창신3동,1071
숭인1동,1012
숭인2동,1520
청운효자동,2083
혜화동,2490
소공동,181
회현동,1288
명동,648
필동,769
장충동,779
광희동,1032
을지로동,439
신당5동,1506
황학동,1704
중림동,1534
신당동,1171
다산동,2277
약수동,3096
청구동,2293
동화동,1522
후암동,2827
용산2가동,1983
남영동,1427
원효로2동,2113
효창동,1430
용문동,1807
이촌1동,3876
이촌2동,1617
이태원1동,1452
이태원2동,1824
서빙고동,1958
보광동,2581
청파동,3007
원효로1동,1644
한강로동,2725
한남동,3335
왕십리2동,2094
마장동,3177
사근동,1412
행당1동,1990
행당2동, 3060
응봉동,	2279
금호1가동, 1998
금호4가동, 1857
성수1가1동, 1856
성수1가2동,	1924
성수2가1동,	2429
성수2가3동,	1569
송정동,1408
용답동,2312
왕십리도선동,2493
금호2·3가동,3184
옥수동,2866
화양동,2092
군자동,2458
중곡1동,2003
중곡2동,2438
중곡3동,2171
중곡4동,3877
능동,1324
구의1동,2569
구의2동,3090
구의3동,3046
광장동,2942
자양1동,2688
자양2동,2971
자양3동,3042
자양4동,3324
회기동,1394
휘경1동,2145
휘경2동,3105
청량리동,4659
용신동,5199
제기동,4744
전농1동,4772
전농2동,2905
답십리1동,3291
답십리2동,4241
장안1동,4569
장안2동,3904
이문1동,4218
이문2동,3002
면목2동,3449
면목4동,3040
면목5동,1673
면목7동,3375
상봉1동,2849
상봉2동,2426
중화1동,2608
중화2동,4135
묵1동,4258
묵2동,2571
망우3동,2483
신내1동,4836
신내2동,2891
면목본동,4593
면목3·8동,3888
망우본동,4532
돈암1동,2316
돈암2동,2598
안암동,2010
보문동,1977
정릉1동,2573
정릉2동,3581
정릉3동,2816
정릉4동,3817
길음1동,3802
길음2동,2438
월곡1동,3689
월곡2동,2970
장위1동,3479
장위2동,3413
장위3동,2247
성북동,2881
삼선동,3714
동선동,2092
종암동,5500
석관동,5195
번1동,2989
