region,occurrence,deaths,injuries
Jongno-gu,86,2,136
Jung-gu,68,0,122
Yongsan-gu,131,4,227
Seongdong-gu,94,0,160
Gwangjin-gu,138,2,255
Dongdaemun-gu,119,1,195
Jungnang-gu,114,1,195
Seongbuk-gu,118,1,188
Gangbuk-gu,79,0,156
Dobong-gu,75,1,116
Nowon-gu,114,4,209
Eunpyeong-gu,86,0,132
Seodaemun-gu,67,0,149
Mapo-gu,214,1,428
Yangcheon-gu,119,2,242
Gangseo-gu,158,1,284
Guro-gu,175,0,322
Geumcheon-gu,104,2,203
Yeongdeungpo-gu,174,1,337
Dongjak-gu,111,1,187
Gwanak-gu,149,1,262
Seocho-gu,229,2,470
Gangnam-gu,468,5,910
Songpa-gu,249,2,452
Gangdong-gu,111,5,198
