org,city,country,quant,ratio,lat,lon
동경국립박물관,동경,일본,67708,42.23,35.7190729,139.77667050000002
메트로폴리탄박물관,뉴욕,미국,44365,27.67,40.7791655,-73.96292779999999
퀄른동아시아박물관,퀄른,독일,10940,6.82,50.93537,6.925320000000056
북경고궁박물원,북경,중국,9806,6.12,39.922456,116.39680399999997
영국박물관,런던,영국,7945,4.96,51.51829770000001,-0.1260044000000562
모스크바국립동양박물관,모스크바,러시아,5699,3.55,55.7561755,37.600105299999996
국립기메박물관,파리,프랑스,2896,1.85,48.8650563,2.2937173000000257
국립고궁박물원,타이페이,대만,2881,1.80,25.0950492,121.52460769999993
로얄온타리오박물관,토론토,캐나다,2192,1.37,43.6676765,-79.3946785
비엔나민속박물관,비엔나,오스트리아,1511,0.94,48.2044368,16.360717199999954
국립박물관,코펜하겐,덴마크,1278,0.80,55.6744995,12.574644199999966
라이덴국립민속박물관,라이덴,네덜란드,1174,0.73,52.1635903,4.484149500000058
국립도서관,알마티,카자흐스탄,1024,0.64,51.1269764,71.42305609999994
훼렌쯔호프동양미술박물관,부다페스트,헝가리,341,0.21,47.51134700000001,19.07310099999995
바티칸박물관,바티칸시티,바티칸,298,0.19,41.9041477,12.448641800000019
민족박물관,바젤,스위스,119,0.07,47.5572244,7.590654900000004
벨기에왕립미술관,브뤼셀,벨기에,56,0.03,50.8416797,4.358240600000045
동아시아박물관,스톡홀롬,스웨덴,51,0.03,59.32678999999999,18.081914299999994
뉴사우스웨일즈박물관,뉴사우스웨일즈,호주,41,0.03,-33.8688155,151.21615050000003
국립동양도자박물관,로마,이탈리아,17,0.01,41.89445000000001,12.50054
