name,proportion
서울특별시 종로구,1.00
서울특별시 중구,1.62
서울특별시 용산구,1.00
서울특별시 성동구,1.51
서울특별시 광진구,1.00
서울특별시 동대문구,1.00
서울특별시 중랑구,1.00
서울특별시 성북구,1.00
서울특별시 강북구,1.00
서울특별시 도봉구,1.00
서울특별시 노원구,1.00
서울특별시 은평구,0.71
서울특별시 서대문구,1.00
서울특별시 마포구,1.00
서울특별시 양천구,1.00
서울특별시 강서구,0.67
서울특별시 구로구,1.00
서울특별시 금천구,1.00
서울특별시 영등포구,1.00
서울특별시 동작구,1.00
서울특별시 관악구,1.00
서울특별시 서초구,1.00
서울특별시 강남구,0.69
서울특별시 송파구,1.00
서울특별시 강동구,1.00
부산광역시 중구,1.00
부산광역시 서구,1.77
부산광역시 동구,1.00
부산광역시 영도구,1.57
부산광역시 부산진구,1.00
부산광역시 동래구,1.00
부산광역시 남구,1.00
부산광역시 북구,1.00
부산광역시 해운대구,0.68
부산광역시 사하구,1.00
부산광역시 금정구,1.00
부산광역시 강서구,1.00
부산광역시 연제구,1.00
부산광역시 수영구,1.00
부산광역시 사상구,1.00
부산광역시 기장군,1.00
대구광역시 중구,1.00
대구광역시 동구,1.59
대구광역시 서구,1.00
대구광역시 남구,1.00
대구광역시 북구,0.70
대구광역시 수성구,1.00
대구광역시 달서구,1.00
대구광역시 달성군,1.00
인천광역시 중구,1.00
인천광역시 동구,1.00
인천광역시 남구,0.67
인천광역시 연수구,0.68
인천광역시 남동구,1.00
인천광역시 부평구,0.75
인천광역시 계양구,1.00
인천광역시 서구,0.60
인천광역시 강화군,0.60
인천광역시 옹진군,1.00
광주광역시 동구,2.05
광주광역시 서구,1.00
광주광역시 남구,1.00
광주광역시 북구,0.71
광주광역시 광산구,1.00
대전광역시 동구,1.00
대전광역시 중구,1.00
대전광역시 서구,1.00
대전광역시 유성구,0.64
대전광역시 대덕구,1.00
울산광역시 중구,1.00
울산광역시 남구,1.00
울산광역시 동구,1.00
울산광역시 북구,1.00
울산광역시 울주군,1.00
세종특별자치시,1.51
경기도 수원시 장안구,0.69
경기도 수원시 권선구,0.70
경기도 수원시 팔달구,1.00
경기도 수원시 영통구,0.64
경기도 성남시 수정구,1.00
