code,name,proportion
,,
11010,종로구,1.00
11020,중구,1.62
11030,용산구,1.00
11040,성동구,1.51
11050,광진구,1.00
11060,동대문구,1.00
11070,중랑구,1.00
11080,성북구,1.00
11090,강북구,1.00
11100,도봉구,1.00
11110,노원구,1.00
11120,은평구,0.71
11130,서대문구,1.00
11140,마포구,1.00
11150,양천구,1.00
11160,강서구,0.67
11170,구로구,1.00
11180,금천구,1.00
11190,영등포구,1.00
11200,동작구,1.00
11210,관악구,1.00
11220,서초구,1.00
11230,강남구,0.69
11240,송파구,1.00
11250,강동구,1.00
,,
21010,중구,1.00
21020,서구,1.77
21030,동구,1.00
21040,영도구,1.57
21050,부산진구,1.00
21060,동래구,1.00
21070,남구,1.00
21080,북구,1.00
21090,해운대구,0.68
21100,사하구,1.00
21110,금정구,1.00
21120,강서구,1.00
21130,연제구,1.00
21140,수영구,1.00
21150,사상구,1.00
21310,기장군,1.00
,,
22010,중구,1.00
22020,동구,1.59
22030,서구,1.00
22040,남구,1.00
22050,북구,0.70
22060,수성구,1.00
22070,달서구,1.00
22310,달성군,1.00
,,
23010,중구,1.00
23020,동구,1.00
23030,남구,0.67
23040,연수구,0.68
23050,남동구,1.00
23060,부평구,0.75
23070,계양구,1.00
23080,서구,0.60
23310,강화군,0.60
23320,옹진군,1.00
,,
24010,동구,2.05
24020,서구,1.00
24030,남구,1.00
24040,북구,0.71
24050,광산구,1.00
,,
25010,동구,1.00
25020,중구,1.00
25030,서구,1.00
25040,유성구,0.64
25050,대덕구,1.00
,,
26010,중구,1.00
26020,남구,1.00
26030,동구,1.00
26040,북구,1.00
26310,울주군,1.00
29010,세종시,1.51
,,
,,
31011,수원시장안구,0.69
31012,수원시권선구,0.70
31013,수원시팔달구,1.00
31014,수원시영통구,0.64
31021,성남시수정구,1.00
31022,성남시중원구,1.00
31023,성남시분당구,0.72
31030,의정부시,1.00
,,
31041,안양시만안구,1.00
31042,안양시동안구,1.00
31052,부천시원미구,1.00
31053,부천시소사구,1.00
31053,부천시오정구,1.00
31060,광명시,1.00
31070,평택시,1.00
31080,동두천시,0.70
31091,안산시상록구,1.00
31092,안산시단원구,1.00
31101,고양시덕양구,1.00
31104,고양시일산서구,1.00
31103,고양시일산동구,0.73
31110,과천시,0.70
31120,구리시,1.00
31130,남양주시,0.70
31140,오산시,1.00
31150,시흥시,1.00
31160,군포시,0.72
31170,의왕시,1.00
31180,하남시,1.00
31191,용인시처인구,0.64
31192,용인시기흥구,0.64
31193,용인시수지구,0.64
31299,파주시,1.00
31219,이천시,1.00
31229,안성시,1.00
31239,김포시,0.62
31240,화성시,0.72
31250,광주시,0.70
31260,양주시,0.70
31270,포천시,1.00
31280,여주시,1.00
31350,연천군,1.00
31370,가평군,1.00
31380,양평군,1.00
,,
32010,춘천시,1.00
32020,원주시,1.00
32030,강릉시,1.00
32040,동해시,1.00
32050,태백시,1.00
32060,속초시,1.00
32070,삼척시,1.00
32310,홍천군,1.80
32320,횡성군,1.80
32330,영월군,1.00
32340,평창군,1.00
32350,정선군,1.00
32360,철원군,1.63
32370,화천군,1.63
32380,양구군,1.63
32390,인제군,1.63
32400,고성군,1.00
32410,양양군,1.00
,,
33011,청주시상당구,1.00
33012,청주시흥덕구,1.00
, 청주시서원구,1.00
33310,청원군,1.00
