species,lat,lng
양버즘나무,37.468509,126.9324318
양버즘나무,37.4775492,126.9144935
은행나무,37.4865657,126.9506931
양버즘나무,37.4895982,126.9261359
은행나무,37.4855062,126.9097309
은행나무,37.486478,126.9516522
느티나무,37.4869892,126.9259247
은행나무,37.4641962,126.9579102
은행나무,37.4891653,126.9197195
은행나무,37.4902366,126.9570208
양버즘나무,37.4896292,126.9259453
느티나무,37.4903344,126.9244821
회화나무,37.481439,126.9132184
양버즘나무,37.4788925,126.9631151
은행나무,37.4781906,126.9584849
양버즘나무,37.4785164,126.9630258
왕벚나무,37.482882,126.9469305
느티나무,37.4920616,126.9246082
은행나무,37.4759157,126.9645229
은행나무,37.4863736,126.9220114
은행나무,37.4877126,126.9220734
양버즘나무,37.4841121,126.907921
은행나무,37.4795543,126.9430814
양버즘나무,37.4808393,126.9099599
감나무,37.4842305,126.9113279
양버즘나무,37.4839776,126.9274838
양버즘나무,37.4832234,126.9394347
양버즘나무,37.4786251,126.9629399
은단풍,37.4863794,126.9434207
은행나무,37.4637931,126.9580437
왕벚나무,37.4751544,126.9589855
왕벚나무,37.4872787,126.9136974
은행나무,37.4864127,126.9227343
양버즘나무,37.4829432,126.9070016
양버즘나무,37.4846085,126.932562
은행나무,37.4710655,126.9832994
양버즘나무,37.4830047,126.9201831
양버즘나무,37.4764899,126.9772977
회화나무,37.4868902,126.9248452
양버즘나무,37.4823991,126.9167999
양버즘나무,37.4706973,126.9334338
양버즘나무,37.4765047,126.9790358
양버즘나무,37.484531,126.9319407
양버즘나무,37.4670604,126.9314535
은행나무,37.4684376,126.9578331
양버즘나무,37.4673312,126.9316077
은행나무,37.490459,126.9273448
양버즘나무,37.4804024,126.904257
양버즘나무,37.4817619,126.949552
은행나무,37.4862258,126.9294911
양버즘나무,37.4840624,126.9375451
은행나무,37.4674733,126.957812
양버즘나무,37.4827055,126.9201575
은행나무,37.4745822,126.9527669
은행나무,37.4697916,126.9519047
은행나무,37.4934504,126.9271191
은행나무,37.4921879,126.9269229
양버즘나무,37.4800712,126.8998335
양버즘나무,37.4794789,126.9009753
양버즘나무,37.479078,126.9297094
양버즘나무,37.4830663,126.9220905
양버즘나무,37.4743297,126.9342644
양버즘나무,37.4751818,126.936838
은행나무,37.4782651,126.9589101
왕벚나무,37.4845704,126.9393005
왕벚나무,37.4731305,126.9588742
양버즘나무,37.4656645,126.9313654
은행나무,37.4833531,126.9540882
양버즘나무,37.4789616,126.959148
