id,poverty,county,state
1000,18.9,United States,US
1001,13.5,Alabama,AL
1003,14.2,Autauga County,AL
1005,28.2,Baldwin County,AL
1007,23.1,Barbour County,AL
1009,17.2,Bibb County,AL
1011,35.2,Blount County,AL
1013,28.8,Bullock County,AL
1015,21.4,Butler County,AL
1017,22.5,Calhoun County,AL
1019,20.1,Chambers County,AL
1021,20.3,Cherokee County,AL
1023,22.4,Chilton County,AL
1025,25.4,Choctaw County,AL
1027,19.6,Clarke County,AL
1029,18.9,Clay County,AL
1031,18.5,Cleburne County,AL
1033,16.3,Coffee County,AL
1035,30.5,Colbert County,AL
1037,19.9,Conecuh County,AL
1039,19.2,Coosa County,AL
1041,22.2,Covington County,AL
1043,16.4,Crenshaw County,AL
1045,20.1,Cullman County,AL
1047,31.3,Dale County,AL
1049,20,Dallas County,AL
1051,13.4,DeKalb County,AL
1053,27.8,Elmore County,AL
1055,19.6,Escambia County,AL
1057,20.7,Etowah County,AL
1059,23.1,Fayette County,AL
1061,23.6,Franklin County,AL
1063,35,Geneva County,AL
1065,25.7,Greene County,AL
1067,18.2,Hale County,AL
1069,18.1,Henry County,AL
1071,16.9,Houston County,AL
1073,18.9,Jackson County,AL
1075,23,Jefferson County,AL
1077,17.1,Lamar County,AL
1079,17.4,Lauderdale County,AL
1081,19.8,Lawrence County,AL
1083,15.9,Lee County,AL
1085,37,Limestone County,AL
1087,33.8,Lowndes County,AL
1089,13.9,Macon County,AL
1091,31.5,Madison County,AL
1093,20.8,Marengo County,AL
1095,18.1,Marion County,AL
1097,20.3,Marshall County,AL
1099,29.7,Mobile County,AL
1101,22.1,Monroe County,AL
1103,17.4,Montgomery County,AL
1105,36.4,Morgan County,AL
1107,23.8,Perry County,AL
1109,25.3,Pickens County,AL
1111,23.4,Pike County,AL
1113,23.9,Randolph County,AL
1115,14,Russell County,AL
1117,8.3,St. Clair County,AL
1119,38,Shelby County,AL
1121,19.8,Sumter County,AL
1123,22.2,Talladega County,AL
1125,17.2,Tallapoosa County,AL
1127,22,Tuscaloosa County,AL
1129,19.7,Walker County,AL
1131,32.4,Washington County,AL
1133,21.9,Wilcox County,AL
2000,10.1,Winston County,AL
2013,15.2,Alaska,AK
2016,8.1,Aleutians East Borough,AK
2020,7.7,Aleutians West Census Area,AK
2050,25.1,Anchorage Borough,AK
2060,9.5,Bethel Census Area,AK
2068,5.4,Bristol Bay Borough,AK
2070,20.9,Denali Borough,AK
2090,8.8,Dillingham Census Area,AK
2100,11.4,Fairbanks North Star Borough,AK
2105,19.2,Haines Borough,AK
2110,7.5,Hoonah-Angoon Census Area,AK
2122,10.1,Juneau Borough,AK
2130,10.3,Kenai Peninsula Borough,AK
2150,8.5,Ketchikan Gateway Borough,AK
2164,17.3,Kodiak Island Borough,AK
2170,9.4,Lake and Peninsula Borough,AK
2180,26.3,Matanuska-Susitna Borough,AK
2185,13.3,Nome Census Area,AK
2188,23.3,North Slope Borough,AK
2195,10.7,Northwest Arctic Borough,AK
2198,17.4,Petersburg Census Area,AK
2220,9.8,Prince of Wales-Hyder Census Area,AK
2230,4.2,Sitka Borough,AK
2240,16.1,Skagway Municipality,AK
2261,9.2,Southeast Fairbanks Census Area,AK
2270,34.7,Valdez-Cordova Census Area,AK
2275,13.9,Wade Hampton Census Area,AK
2282,16.7,Wrangell City and Borough,AK
2290,24.4,Yakutat Borough,AK
4000,18.6,Yukon-Koyukuk Census Area,AK
4001,38.7,Arizona,AZ
4003,18.8,Apache County,AZ
4005,23.2,Cochise County,AZ
4007,22.6,Coconino County,AZ
4009,21.6,Gila County,AZ
4011,11.6,Graham County,AZ
4012,23.2,Greenlee County,AZ
4013,17.6,La Paz County,AZ
4015,21.3,Maricopa County,AZ
4017,31.8,Mohave County,AZ
4019,19.3,Navajo County,AZ
4021,16.7,Pima County,AZ
4023,22.7,Pinal County,AZ
4025,16.4,Santa Cruz County,AZ
4027,19.2,Yavapai County,AZ
5000,19.4,Yuma County,AZ
5001,19.8,Arkansas,AR
5003,21.9,Arkansas County,AR
5005,15.6,Ashley County,AR
5007,11.7,Baxter County,AR
5009,17.2,Benton County,AR
5011,27,Boone County,AR
5013,18.9,Bradley County,AR
5015,22.2,Calhoun County,AR
5017,32.4,Carroll County,AR
5019,22.7,Chicot County,AR
5021,20,Clark County,AR
5023,16.3,Clay County,AR
5025,17,Cleburne County,AR
5027,23.2,Cleveland County,AR
5029,21.1,Columbia County,AR
5031,20,Conway County,AR
5033,19.2,Craighead County,AR
5035,23.6,Crawford County,AR
5037,20.6,Crittenden County,AR
5039,21.4,Cross County,AR
5041,34,Dallas County,AR
5043,24.8,Desha County,AR
5045,14.9,Drew County,AR
5047,20.7,Faulkner County,AR
5049,22.9,Franklin County,AR
5051,22.1,Fulton County,AR
5053,14.2,Garland County,AR
5055,17.7,Grant County,AR
5057,22.9,Greene County,AR
5059,18.5,Hempstead County,AR
5061,21.5,Hot Spring County,AR
5063,18.4,Howard County,AR
5065,20.8,Independence County,AR
5067,27.5,Izard County,AR
5069,25.8,Jackson County,AR
5071,23.4,Jefferson County,AR
5073,26,Johnson County,AR
5075,20.4,Lafayette County,AR
5077,41.1,Lawrence County,AR
5079,27.6,Lee County,AR
5081,19.3,Lincoln County,AR
5083,18.7,Little River County,AR
5085,12.6,Logan County,AR
5087,20.2,Lonoke County,AR
5089,19,Madison County,AR
5091,21.4,Marion County,AR
5093,25.6,Miller County,AR
5095,28.7,Mississippi County,AR
5097,22.4,Monroe County,AR
5099,21.1,Montgomery County,AR
5101,23.5,Nevada County,AR
5103,27.5,Newton County,AR
5105,17.5,Ouachita County,AR
5107,36.6,Perry County,AR
5109,21.9,Phillips County,AR
5111,24.7,Pike County,AR
5113,24.4,Poinsett County,AR
5115,20,Polk County,AR
5117,19.6,Pope County,AR
5119,17.3,Prairie County,AR
5121,22.6,Pulaski County,AR
5123,37.3,Randolph County,AR
5125,10.3,St. Francis County,AR
5127,21.2,Saline County,AR
5129,25.9,Scott County,AR
5131,22.1,Searcy County,AR
5133,22.2,Sebastian County,AR
5135,22.8,Sevier County,AR
5137,26.2,Sharp County,AR
5139,21,Stone County,AR
5141,18.9,Union County,AR
5143,20.9,Van Buren County,AR
5145,17.2,Washington County,AR
5147,28,White County,AR
5149,19.7,Woodruff County,AR
6000,16.8,Yell County,AR
6001,13,California,CA
6003,19.7,Alameda County,CA
6005,14.3,Alpine County,CA
6007,21.4,Amador County,CA
6009,15,Butte County,CA
6011,13,Calaveras County,CA
6013,10.8,Colusa County,CA
6015,23.7,Contra Costa County,CA
6017,11.4,Del Norte County,CA
6019,28.6,El Dorado County,CA
6021,19.1,Fresno County,CA
6023,21.5,Glenn County,CA
6025,22.7,Humboldt County,CA
6027,15.7,Imperial County,CA
6029,22.7,Inyo County,CA
6031,21.8,Kern County,CA
6033,23.3,Kings County,CA
6035,19.1,Lake County,CA
6037,19,Lassen County,CA
